exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2021,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,8272831225.58,4039277,Ativo Circulante,Paraíba
2021,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,19364711412.18,4039277,Ativo Não Circulante,Paraíba
2021,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,27637542637.76,4039277,Passivo Total,Paraíba
2021,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,500609493.52,4039277,Passivo Circulante,Paraíba
2021,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,6260367073.3,4039277,Passivo Não Circulante,Paraíba
2021,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,20876566070.94,4039277,Patrimônio Líquido,Paraíba
2022,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,31204203996.58,4059905,Ativo Total,Paraíba
2022,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,9065766698.8,4059905,Ativo Circulante,Paraíba
2022,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,22138437297.78,4059905,Ativo Não Circulante,Paraíba
2022,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,31204203996.58,4059905,Passivo Total,Paraíba
2022,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,621624523.04,4059905,Passivo Circulante,Paraíba
2022,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,6680828991.15,4059905,Passivo Não Circulante,Paraíba
2022,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,23901750482.39,4059905,Patrimônio Líquido,Paraíba
2023,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,33766918116.59,4059905,Ativo Total,Paraíba
2023,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,10302692428.45,4059905,Ativo Circulante,Paraíba
2023,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,23464225688.14,4059905,Ativo Não Circulante,Paraíba
2023,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,33766918116.59,4059905,Passivo Total,Paraíba
2023,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,646302275.46,4059905,Passivo Circulante,Paraíba
2023,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,8181592607.68,4059905,Passivo Não Circulante,Paraíba
2023,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,24939023233.45,4059905,Patrimônio Líquido,Paraíba
2024,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,40766162551.74,4030961,Ativo Total,Paraíba
2024,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,10916361580.46,4030961,Ativo Circulante,Paraíba
2024,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,29849800971.28,4030961,Ativo Não Circulante,Paraíba
2024,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,40766162551.74,4030961,Passivo Total,Paraíba
2024,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,691110697.72,4030961,Passivo Circulante,Paraíba
2024,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,8806432834.53,4030961,Passivo Não Circulante,Paraíba
2024,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,31268619019.49,4030961,Patrimônio Líquido,Paraíba
