data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal,credito_PF_brasil_real,credito_PF_nordeste_real,credito_PJ_brasil_real,credito_PJ_nordeste_real,credito_total_nordeste_real
2024-11-01,106.54,6365255.0,622255.0,3929256.0,263047.0,348747.0,107.83412,3.66,4.27,0.39,,11.04,6671204.782018776,652164.0580990225,4118118.035644443,275690.51111003297,365509.73277813726
2024-12-01,107.26,6462746.0,627924.0,3965534.0,268409.0,355097.0,106.90886,3.54,4.08,0.52,,11.77,6738342.3648446305,654701.0962681653,4134639.6332815476,279854.99287850433,370239.70286457706
2025-01-01,106.81,6464424.0,635607.0,4013980.0,268316.0,355226.0,108.32075,3.78,4.44,0.16,194.02,12.24,6729325.0012213765,661653.0840259419,4178466.011573897,279311.12919383304,369782.55183816294
2025-02-01,106.24,6518695.0,641667.0,4040708.0,269139.0,355103.0,109.04864,3.85,4.51,1.31,,13.15,6698075.149206426,659324.2645599832,4151899.397041831,276545.1133366829,364874.6535477806
2025-03-01,108.67,6579532.0,648247.0,4083812.0,272378.0,358304.0,109.87585,3.91,4.54,0.56,,13.57,6722937.797973105,662376.0259426766,4172821.7226720895,278314.6812776833,366113.5024139947
2025-04-01,108.55,6630471.0,652801.0,4116655.0,273049.0,359463.0,110.40313,4.13,4.82,0.43,194.59,14.15,6745979.340235858,664173.33840768,4188370.5668690274,277805.74153360457,365725.1455559043
2025-05-01,109.21,6665994.0,659862.0,4133403.0,277028.0,361138.0,109.03061,4.24,4.91,0.26,,14.55,6764533.393728364,669616.3444270106,4194504.619001607,281123.1388743796,366476.486589138
2025-06-01,111.17,6703448.0,662108.0,4155742.0,281563.0,362066.0,108.8466,4.29,4.99,0.24,,14.74,6786254.044054836,670286.8572413868,4207076.858588078,285041.07847278175,366538.5122275519
2025-07-01,109.13,6732353.0,667504.0,4188077.0,284610.0,365029.0,108.31772,4.54,5.22,0.26,194.64,14.9,6797841.71195794,673997.1201894453,4228816.36234637,287378.5331280682,368579.80594218615
2025-08-01,109.17,6772151.0,676266.0,4226068.0,286098.0,369021.0,108.69252,4.79,5.38,-0.11,,14.9,6845556.958168127,683596.3081556401,4271875.981957824,289199.1266316987,373020.961029983
