exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2020,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,18289724758.58,7075181,Passivo Total,Maranhão
2020,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,9587165096.87,7075181,Passivo Circulante,Maranhão
2020,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,104395241691.43,7075181,Passivo Não Circulante,Maranhão
2020,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-95692682029.72,7075181,Patrimônio Líquido,Maranhão
2021,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,21309830017.2,7114598,Ativo Total,Maranhão
2021,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2993491262.7,7114598,Ativo Circulante,Maranhão
2021,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,18316338754.5,7114598,Ativo Não Circulante,Maranhão
2021,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,21309830017.2,7114598,Passivo Total,Maranhão
2021,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,9570216750.84,7114598,Passivo Circulante,Maranhão
2021,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,88785909729.52,7114598,Passivo Não Circulante,Maranhão
2021,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-77046296463.16,7114598,Patrimônio Líquido,Maranhão
2022,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,27689199218.59,7153262,Ativo Total,Maranhão
2022,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,6407326565.69,7153262,Ativo Circulante,Maranhão
2022,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,21281872652.9,7153262,Ativo Não Circulante,Maranhão
2022,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,27689199218.59,7153262,Passivo Total,Maranhão
2022,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,6803323982.77,7153262,Passivo Circulante,Maranhão
