ano,elemento,cod,regiao,empenhado,pago
2020,equip,14,VALE DO JAGUARIBE,6753134.54,1669512.08
2020,equip,15,ESTADO DO CEARÁ,15586331.59,5485841.57
2021,equip,01,CARIRI,78217528.43,32538859.68
2021,equip,02,CENTRO SUL,26647401.1,9835306.35
2021,equip,03,GRANDE FORTALEZA,409550452.88,136044965.67
2021,equip,04,LITORAL LESTE,12281565.28,3718297.16
2021,equip,05,LITORAL NORTE,33722938.53,8982433.76
2021,equip,06,LITORAL OESTE / VALE DO CURU,28300057.23,9211120.86
2021,equip,07,MACIÇO DO BATURITÉ,20631207.31,4850047.28
2021,equip,08,SERRA DA IBIAPABA,24925225.19,6876212.53
2021,equip,09,SERTÃO CENTRAL,33520774.08,8907259.69
2021,equip,10,SERTÃO DE CANINDÉ,16727751.71,4420790.32
2021,equip,11,SERTÃO DE SOBRAL,35629221.14,9767091.0
2021,equip,12,SERTÃO DOS CRATEÚS,29913350.73,8624238.64
2021,equip,13,SERTÃO DOS INHAMUNS,8558541.4,1949007.43
2021,equip,14,VALE DO JAGUARIBE,44985316.53,15067023.54
2021,equip,15,ESTADO DO CEARÁ,22628730.31,12849142.38
2022,equip,01,CARIRI,65828030.41,49150127.47
2022,equip,02,CENTRO SUL,12235017.32,10211183.95
2022,equip,03,GRANDE FORTALEZA,458843666.73,331299592.68
2022,equip,04,LITORAL LESTE,5013579.48,3935866.59
2022,equip,05,LITORAL NORTE,14269270.23,11468032.03
2022,equip,06,LITORAL OESTE / VALE DO CURU,11387394.84,9534956.79
2022,equip,07,MACIÇO DO BATURITÉ,6134127.68,5159213.53
2022,equip,08,SERRA DA IBIAPABA,11708622.58,7241752.59
2022,equip,09,SERTÃO CENTRAL,14702423.37,11872815.39
2022,equip,10,SERTÃO DE CANINDÉ,7794416.21,5992075.81
2022,equip,11,SERTÃO DE SOBRAL,20292492.65,13558429.45
2022,equip,12,SERTÃO DOS CRATEÚS,13653637.82,8964881.11
2022,equip,13,SERTÃO DOS INHAMUNS,5611049.24,4191238.3
2022,equip,14,VALE DO JAGUARIBE,25348404.04,15968928.95
2022,equip,15,ESTADO DO CEARÁ,60334557.76,26297015.01
2023,equip,01,CARIRI,25457898.54,18736734.21
2023,equip,02,CENTRO SUL,7578869.92,5463997.82
2023,equip,03,GRANDE FORTALEZA,289031069.28,180950063.16
2023,equip,04,LITORAL LESTE,677212.38,468001.13
2023,equip,05,LITORAL NORTE,4458304.06,3002069.94
2023,equip,06,LITORAL OESTE / VALE DO CURU,6350777.34,4658895.26
2023,equip,07,MACIÇO DO BATURITÉ,2421122.08,1582014.22
2023,equip,08,SERRA DA IBIAPABA,5668843.47,3871843.97
2023,equip,09,SERTÃO CENTRAL,9518999.82,7491422.22
2023,equip,10,SERTÃO DE CANINDÉ,4772049.07,3800697.75
2023,equip,11,SERTÃO DE SOBRAL,12587151.93,8412724.79
2023,equip,12,SERTÃO DOS CRATEÚS,11734295.35,8741497.18
2023,equip,13,SERTÃO DOS INHAMUNS,3753744.39,2763611.48
2023,equip,14,VALE DO JAGUARIBE,18901587.49,7744606.63
2023,equip,15,ESTADO DO CEARÁ,67883292.27,48670420.65
2024,equip,01,CARIRI,61637092.01,29619932.15
2024,equip,02,CENTRO SUL,6575485.8,4955654.2
2024,equip,03,GRANDE FORTALEZA,390646726.1,224748057.16
2024,equip,04,LITORAL LESTE,3883597.91,1175002.05
2024,equip,05,LITORAL NORTE,10667512.73,5727341.43
2024,equip,06,LITORAL OESTE / VALE DO CURU,8699831.67,3400466.34
2024,equip,07,MACIÇO DO BATURITÉ,5258173.27,2961887.83
2024,equip,08,SERRA DA IBIAPABA,8138999.32,7369453.92
2024,equip,09,SERTÃO CENTRAL,17525492.85,11169746.81
2024,equip,10,SERTÃO DE CANINDÉ,5018407.51,4192038.95
2024,equip,11,SERTÃO DE SOBRAL,24356604.83,17297704.42
2024,equip,12,SERTÃO DOS CRATEÚS,11761369.8,9611057.27
