cod_ibge,regiao_codigo,regiao_nome,ano,mes,fpm_dest,fundeb_dest,itr_dest,outros_dest,royalties_dest,total
2301109,4,Litoral Leste,2015,2,2599583.67,4743605.2,191.24,423.87,411132.69,7754936.670000001
2301208,7,Maciço do Baturité,2015,2,1399775.84,2371529.0,88.7,191.7,16183.34,3787768.58
2301257,12,Sertão dos Crateús,2015,2,799871.91,1036147.58,0.0,97.62,10771.95,1846889.0600000003
2301307,1,Cariri,2015,2,1199807.85,2308920.15,2274.19,161.12,13871.43,3525034.74
2301406,7,Maciço do Baturité,2015,2,799871.91,1266523.7799999998,0.0,99.82,9247.62,2075743.13
2301505,13,Sertão dos Inhamuns,2015,2,599903.95,786894.58,10.3,72.42,6935.72,1393816.9699999995
2301604,1,Cariri,2015,2,1199807.85,1727433.35,87.47,166.38,13871.43,2941366.4800000004
2301703,1,Cariri,2015,2,1399775.84,1840113.71,21.18,188.03,16183.34,3256282.0999999996
2301802,2,Centro Sul,2015,2,599903.95,513774.37,0.0,67.79,6935.72,1120681.8299999998
2301851,9,Sertão Central,2015,2,1199807.85,1656814.47,57.2,151.32,13871.43,2870702.2700000005
2301901,1,Cariri,2015,2,2199647.7199999997,3933134.95,22.71,350.3,35048.04,6168203.72
2301950,7,Maciço do Baturité,2015,2,1199807.85,1880497.15,13.28,158.82,13871.43,3094348.53
2302008,1,Cariri,2015,2,1199807.85,1580480.85,10.739999999999998,163.82,14417.67,2794880.93
2302057,5,Litoral Norte,2015,2,999839.88,1511922.55,0.0,125.98,13229.03,2525117.44
2302107,7,Maciço do Baturité,2015,2,1599743.82,2231771.85,70.78,232.99,18495.24,3850314.68
2302206,4,Litoral Leste,2015,2,2199647.7199999997,4364923.32,245.06,331.88,25430.96,6590578.9399999995
2302305,5,Litoral Norte,2015,2,1599743.82,2290530.61,14.84,225.17,20527.68,3911042.12
2302404,10,Sertão de Canindé,2015,2,2199647.7199999997,4300628.54,119.33,338.14,25821.39,6526555.119999999
2302503,1,Cariri,2015,2,1999679.76,4294090.15,54.84,303.02,23352.2,6317479.97
2302602,5,Litoral Norte,2015,2,2399615.7,4934723.8,0.0,378.8,30138.23,7364856.53
2302701,1,Cariri,2015,2,1399775.84,2126359.57,130.89,194.71,18073.22,3544534.23
2302800,10,Sertão de Canindé,2015,2,2599583.67,5694262.91,251.46,437.41,33566.909999999996,8328102.36
2302909,7,Maciço do Baturité,2015,2,1199807.85,1769370.3,21.4,150.44,13871.43,2983221.4200000004
2303006,10,Sertão de Canindé,2015,2,1199807.85,1702777.6800000002,64.42,161.32,16224.93,2919036.2
2303105,11,Sertão de Sobral,2015,2,1199807.85,1510768.98,39.63,153.78,16248.66,2727018.9
2303204,1,Cariri,2015,2,1399775.84,2318604.38,155.55,194.11,16183.34,3734913.2199999993
2303303,2,Centro Sul,2015,2,1199807.85,1257520.56,202.44,154.32,13871.43,2471556.6
2303402,8,Serra da Ibiapaba,2015,2,1199807.85,1513109.67,0.0,149.89,15613.52,2728680.93
2303501,3,Grande Fortaleza,2015,2,2399615.7,5180719.49,71.69,399.05,28087.26,7608893.19
2303600,2,Centro Sul,2015,2,1199807.85,1109159.4,21.78,156.81,13871.43,2323017.27
2303659,12,Sertão dos Crateús,2015,2,799871.91,1184906.64,28.43,96.16,10699.36,1995602.5
2303709,3,Grande Fortaleza,2015,2,6519248.300000001,21307696.58,1578.51,1557.89,123092.25,27953173.53
2303808,2,Centro Sul,2015,2,1399775.84,1734297.13,62.76,188.73,16183.34,3150507.7999999993
2303907,5,Litoral Norte,2015,2,799871.91,1186132.39,0.0,103.81,10844.53,1996952.64
2303931,9,Sertão Central,2015,2,799871.91,1256968.6700000002,28.06,104.76,9247.62,2066221.0200000005
2303956,3,Grande Fortaleza,2015,2,1199807.85,1875329.77,63.61,155.4,18583.68,3093940.31
2304004,11,Sertão de Sobral,2015,2,1199807.85,2088212.69,14.84,165.41,15758.69,3303959.48
2304103,12,Sertão dos Crateús,2015,2,2599583.67,4854294.64,191.86,430.67,32595.32,7487096.16
2304202,1,Cariri,2015,2,3399455.56,6885518.42,468.73,648.94,56617.16,10342708.81
2304236,8,Serra da Ibiapaba,2015,2,1199807.85,1690644.11,0.0,150.72,15613.52,2906216.2
2304251,5,Litoral Norte,2015,2,1199807.85,2202773.61,0.0,167.4,16648.91,3419397.77
2304269,9,Sertão Central,2015,2,599903.95,730802.3200000001,0.0,77.02,6935.72,1337719.01
2304277,14,Vale do Jaguaribe,2015,2,599903.95,687683.1799999999,12.22,70.32,6935.72,1294605.39
2304285,3,Grande Fortaleza,2015,2,1999679.76,4820249.28,0.0,309.48,23119.05,6843357.57
2304301,1,Cariri,2015,2,1199807.85,1614981.17,38.68,154.9,13892.82,2828875.42
2304350,11,Sertão de Sobral,2015,2,1199807.85,1702023.22,31.979999999999997,166.41,15939.66,2917969.1200000006
2304400,3,Grande Fortaleza,2015,2,56089163.239999995,77317180.93,4277.23,9907.37,1047978.38,134468507.15
2304459,4,Litoral Leste,2015,2,999839.88,1296774.25,12.59,128.38,11559.53,2308314.6299999994
2304509,11,Sertão de Sobral,2015,2,799871.91,1284389.18,56.67,105.36,10844.53,2095267.65
2304608,6,Litoral Oeste / Vale do Curu,2015,2,599903.95,846547.54,0.0,69.02,8387.460000000001,1454907.97
2304657,11,Sertão de Sobral,2015,2,999839.88,1553940.56,16.04,127.45,13229.03,2567152.96
2304707,5,Litoral Norte,2015,2,2199647.7199999997,4927957.58,28.28,337.64,27753.74,7155724.96
2304806,1,Cariri,2015,2,599903.95,595200.11,40.0,63.18,6935.72,1202142.96
2304905,11,Sertão de Sobral,2015,2,799871.91,947486.08,0.0,97.46,10855.94,1758311.39
2304954,3,Grande Fortaleza,2015,2,1399775.84,2180883.9699999997,102.72,189.75,16425.08,3597377.36
2305001,8,Serra da Ibiapaba,2015,2,1799711.7799999998,3518372.19,0.0,262.13,23731.460000000003,5342077.56
2305100,7,Maciço do Baturité,2015,2,599903.95,595244.1,24.29,61.28,6935.72,1202169.34
2305209,12,Sertão dos Crateús,2015,2,1199807.85,1647546.12,23.34,157.4,16006.2,2863540.91
2305233,3,Grande Fortaleza,2015,2,2399615.7,4827852.59,0.0,358.29,346288.64,7574115.22
2305266,9,Sertão Central,2015,2,799871.91,1212874.59,157.60000000000002,104.65,9247.62,2022256.37
2305308,8,Serra da Ibiapaba,2015,2,1399775.84,1961578.45,30.23,187.28,18070.6,3379642.4
2305332,9,Sertão Central,2015,2,799871.91,1217358.46,10.76,100.99,9247.62,2026589.74
2305357,4,Litoral Leste,2015,2,1199807.85,1725564.46,0.0,155.23,95655.98,3021183.52
2305407,2,Centro Sul,2015,2,2399615.7,5322592.5600000005,393.12,393.15,27762.36,7750756.8900000015
2305506,2,Centro Sul,2015,2,2999519.62,5315730.17,330.56,538.95,34698.07,8350817.37
2305605,12,Sertão dos Crateús,2015,2,1399775.84,1834797.64,313.2,191.58,18143.19,3253221.4499999997
2305654,12,Sertão dos Crateús,2015,2,799871.91,1056275.06,0.0,99.87,10771.95,1867018.7900000005
2305704,2,Centro Sul,2015,2,799871.91,931693.45,129.85,102.05,9247.62,1741044.8800000004
2305803,8,Serra da Ibiapaba,2015,2,1799711.7799999998,3264986.84,160.74,268.94,26787.500000000004,5091915.8
2305902,12,Sertão dos Crateús,2015,2,1799711.7799999998,3332467.4400000004,43.09,260.19,22984.76,5155467.260000001
2306009,14,Vale do Jaguaribe,2015,2,999839.88,1118820.6,22.6,123.78,11559.53,2130366.3899999997
2306108,6,Litoral Oeste / Vale do Curu,2015,2,1199807.85,2255113.69,77.72999999999999,166.99,16057.01,3471223.27
2306207,4,Litoral Leste,2015,2,599903.95,564026.22,122.2,71.84,6935.72,1171059.93
2306256,3,Grande Fortaleza,2015,2,1799711.7799999998,3201618.31,0.0,258.87,28560.22,5030149.18
2306306,6,Litoral Oeste / Vale do Curu,2015,2,1999679.76,3727606.27,70.6,311.66,25441.83,5753110.119999999
2306405,6,Litoral Oeste / Vale do Curu,2015,2,3399455.56,9684084.46,766.15,636.31,437946.03,13522888.510000002
2306504,7,Maciço do Baturité,2015,2,1199807.85,1618043.28,222.04,156.04,14563.29,2832792.5
2306553,5,Litoral Norte,2015,2,1799711.7799999998,3526822.64,674.99,264.04,117490.71,5444964.16
2306603,10,Sertão de Canindé,2015,2,1199807.85,2182934.84,0.0,157.34,13871.43,3396771.46
2306702,14,Vale do Jaguaribe,2015,2,1199807.85,1381649.51,96.78,152.08,13871.43,2595577.6500000004
2306801,14,Vale do Jaguaribe,2015,2,799871.91,951213.93,0.0,98.11,9247.62,1760431.57
