ano,mes,indice,indice_dessaz,fbcf_r$_2010_milhoes
1996,1,83.1444973103798,91.6637247578247,32227.98313732245
1996,2,92.8127718527504,97.6747873501136,35975.54309616563
1996,3,102.776012776868,101.181684272062,39837.436196521856
1996,4,99.4453470887013,98.7812788177851,38546.423067491916
1996,5,103.155543964277,97.4097664709497,39984.54785277789
1996,6,100.941232347023,99.9546127012658,39126.249351131526
1996,7,108.065378770931,101.381148607593,41887.66926759857
1996,8,105.473525076351,104.044077042888,40883.030116897935
1996,9,102.240011652717,101.80783974952,39629.67457970386
1996,10,109.327137349072,107.738913548552,42376.74473855729
1996,11,105.340766714431,108.140777047849,40831.571098108936
1996,12,101.624028536495,104.4451771036,39390.91081150919
1997,1,97.6978648443842,105.093147814769,37869.07424611521
1997,2,105.153737914773,111.572957675681,40759.07610359587
1997,3,107.26934844084,106.38731110955,41579.116666561145
1997,4,115.208561748463,110.939568526563,44656.46803632758
1997,5,107.133028109992,103.949900817356,41526.27697821831
1997,6,113.675915141544,112.71682375608,44062.39253382893
1997,7,121.005974916604,114.62970198112,46903.62737854484
1997,8,109.10736771475,109.109162077292,42291.55893395722
1997,9,112.541712168647,110.273106441588,43622.759419438815
1997,10,110.902209179449,109.10603612265,42987.26487179891
1997,11,104.914315324473,109.123120165696,40666.27252121759
1997,12,111.96127409607,113.597499911653,43397.77341282852
1998,1,102.438980320837,112.81085935489,39706.797649555236
1998,2,99.8734353037979,107.571247893727,38712.35611437652
1998,3,118.62881137536,113.248516151383,45982.20515213919
1998,4,114.11363181441,112.900499055866,44232.05769248528
1998,5,115.445651184879,111.865508153602,44748.367240304375
1998,6,113.682236100711,110.106541490533,44064.8426122777
1998,7,118.062255647169,111.93311742334,45762.6001386373
1998,8,106.848153192835,106.741374190344,41415.855417233164
1998,9,113.60266925999,111.863883886316,44034.00137943617
1998,10,107.894898107362,108.449710352188,41821.5885510622
1998,11,104.553932756471,107.209637901625,40526.5831270867
1998,12,99.2695741361656,99.9801860461867,38478.290984906234
1999,1,93.8270575060283,103.888779700016,36368.6945680503
1999,2,95.5379207161181,102.61656685656,37031.84934652635
1999,3,104.621695537854,97.8964988434243,40552.84894725915
1999,4,96.6482208270699,95.5792017510999,37462.217373483654
1999,5,102.963598150474,99.7645650168074,39910.146947978916
1999,6,107.931081922454,105.372288232093,41835.61391749653
1999,7,100.107623661191,96.7411296025467,38803.13084137019
1999,8,100.632651189962,98.9604492755905,39006.638937448595
1999,9,99.3542992488478,97.9622109718653,38511.1316442153
1999,10,97.9659566096878,100.150276971295,37972.990400724135
1999,11,98.9502586744692,99.7731413336569,38354.519802884446
1999,12,99.2156276458415,99.6742337250494,38457.38056953544
2000,1,88.8712886422623,98.5074060105441,34447.768460901396
2000,2,100.116167667429,99.2503332644258,38806.44261706279
2000,3,104.099020320303,104.025255225031,40350.25263823138
2000,4,101.446895158809,104.065052764978,39322.25141434646
2000,5,109.974854580275,103.737338512147,42627.80910438002
2000,6,108.121641660917,106.267856522876,41909.47756525079
2000,7,105.136336614781,103.18934679439,40752.33110562862
2000,8,110.286702277326,106.135675871604,42748.6856824875
2000,9,105.062265507895,104.760342134006,40723.62009694816
2000,10,105.064291449595,105.573850998583,40724.40538060572
2000,11,109.124858318378,109.246253823589,42298.338531039706
2000,12,108.101960232024,110.508895177828,41901.84876504046
2001,1,105.975452770294,111.801065406284,41077.584388528485
2001,2,102.37548750748,110.242945808671,39682.18693550184
2001,3,114.760552422223,109.005823785045,44482.81326823846
2001,4,106.069981266531,106.973970534347,41114.22497066134
2001,5,115.500405896647,110.122424567481,44769.59093925886
2001,6,104.481956036818,105.504778998172,40498.68393092602
2001,7,110.312529252915,106.986316218545,42758.696575900096
2001,8,112.580162605321,108.115053619882,43637.66333622716
2001,9,101.417947941762,102.816288261573,39311.03105658908
2001,10,101.868843270869,101.514993695831,39485.80446352071
2001,11,98.9213144887376,99.148689237574,38343.30061833253
2001,12,97.5181167403915,99.4075586665945,37799.40132453648
2002,1,92.8450424905771,95.5915831013769,35988.051652884365
2002,2,94.6030698207258,100.139855219418,36669.487911271506
2002,3,110.050785978697,108.175418179207,42657.241183812526
2002,4,107.43376282185,104.173719455279,41642.845993515075
2002,5,104.638648420446,101.93860777043,40559.42011793688
2002,6,100.034415457703,104.927247374291,38774.75430013703
2002,7,111.169234281547,107.418162591929,43090.76756512828
2002,8,105.97663933026,103.185625049341,41078.044318882916
2002,9,105.700092988191,105.074745458731,40970.85104527538
2002,10,107.900419289443,106.979229557553,41823.728640659036
2002,11,105.49205340741,106.729416614805,40890.211961290355
2002,12,107.576906903149,108.445325727644,41698.33066403063
2003,1,105.347513614873,108.941773549382,40834.18629945502
2003,2,101.371910623806,103.053242540628,39293.186349675656
2003,3,100.067776061321,101.23959280999,38787.68534773694
2003,4,100.329542836082,100.139097923611,38889.14985203151
2003,5,96.8756974011195,95.158070451318,37550.39051067321
2003,6,93.5950477827975,95.9836924350709,36278.7643175052
2003,7,98.6961505472446,94.9358850005406,38256.02389837764
2003,8,98.0165534592858,96.7028126043579,37992.602454946835
2003,9,103.903545193468,101.335489025102,40274.48371600594
2003,10,105.484377543619,103.787235782058,40887.23669402362
2003,11,103.320791930542,105.466396540497,40048.60030890504
2003,12,96.4694464258415,96.5693103774449,37392.92188669142
2004,1,97.9242970780507,103.828374832243,37956.842579066266
2004,2,98.3485427429555,105.319194747637,38121.28619927227
2004,3,113.307246778994,107.54261092012,43919.49145807747
2004,4,108.352833844406,109.570853233951,41999.09092990255
2004,5,108.754866609809,108.434885737745,42154.92451608459
2004,6,108.416749545782,109.058390528305,42023.86555977327
2004,7,113.493989358101,110.455032257832,43991.87552300799
2004,8,114.956740609828,110.964445555048,44558.85859718702
