ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,RN,1,1.0,921,1098,-177,870.434285714446,2019,Rio Grande do Norte
2015,RN,1,2.0,5311,6668,-1357,945.1241051072428,11979,Rio Grande do Norte
2015,RN,1,3.0,2704,3530,-826,962.5081775239356,6234,Rio Grande do Norte
2015,RN,1,4.0,5811,7038,-1227,956.18266873711,12849,Rio Grande do Norte
2015,RN,1,5.0,6935,8607,-1672,980.3194065300984,15542,Rio Grande do Norte
2015,RN,1,6.0,6638,7793,-1155,927.535951259606,14431,Rio Grande do Norte
2015,RN,1,7.0,38988,42227,-3239,1023.8691893558066,81215,Rio Grande do Norte
2015,RN,1,8.0,1269,1377,-108,1319.2194916861736,2646,Rio Grande do Norte
2015,RN,1,9.0,2938,3011,-73,2356.5434457844613,5949,Rio Grande do Norte
2015,RN,2,1.0,78,59,19,832.5499421555456,137,Rio Grande do Norte
2015,RN,2,2.0,412,611,-199,816.5937830080693,1023,Rio Grande do Norte
2015,RN,2,3.0,312,484,-172,834.0725909297919,796,Rio Grande do Norte
2015,RN,2,4.0,1014,1101,-87,817.3849481436218,2115,Rio Grande do Norte
2015,RN,2,5.0,1421,1738,-317,835.1477143990728,3159,Rio Grande do Norte
2015,RN,2,6.0,2112,2659,-547,741.8149715098737,4771,Rio Grande do Norte
2015,RN,2,7.0,22539,23306,-767,874.9975107961492,45845,Rio Grande do Norte
2015,RN,2,8.0,1493,1602,-109,1067.5292511263506,3095,Rio Grande do Norte
2015,RN,2,9.0,4115,3995,120,1572.552066092868,8110,Rio Grande do Norte
2015,SE,1,1.0,841,1199,-358,837.2814429181753,2040,Sergipe
2015,SE,1,2.0,6720,7084,-364,923.2535908970748,13804,Sergipe
2015,SE,1,3.0,1920,2587,-667,987.4076863250008,4507,Sergipe
2015,SE,1,4.0,4274,5444,-1170,1013.7059087454296,9718,Sergipe
2015,SE,1,5.0,3782,4535,-753,1029.7297458370538,8317,Sergipe
