ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes,uf_nome
2020,PE,S,-699,1378.427291505546,13013,Pernambuco
2020,PE,T,-2,1212.335,8,Pernambuco
2020,PE,U,-1,,1,Pernambuco
2020,PI,A,194,1358.5830854715816,7568,Piauí
2020,PI,B,56,1458.8646025968226,362,Piauí
2020,PI,C,-557,1109.8029155052875,15307,Piauí
2020,PI,D,-367,3697.324791598838,549,Piauí
2020,PI,E,-120,1457.7136826494925,1240,Piauí
2020,PI,F,1768,1693.3999470788822,26516,Piauí
2020,PI,G,1667,1195.5479686423678,41819,Piauí
2020,PI,H,-952,1389.6393666107845,5164,Piauí
2020,PI,I,-952,1021.7364987175356,7638,Piauí
2020,PI,J,643,1875.5985150240745,2551,Piauí
2020,PI,K,-101,2222.055641904836,903,Piauí
2020,PI,L,-23,1492.6699986623626,507,Piauí
2020,PI,M,585,1361.0499528739078,3093,Piauí
2020,PI,N,1678,1203.476737371901,20364,Piauí
2020,PI,O,-15,2467.2529999999997,21,Piauí
2020,PI,P,-541,1092.6077440957492,4345,Piauí
2020,PI,Q,222,1352.06800658628,6762,Piauí
2020,PI,R,-63,1140.6099211380626,583,Piauí
2020,PI,S,134,1224.6954456662904,1962,Piauí
2020,PI,T,-1,,1,Piauí
2020,RN,A,329,1089.7911223155086,22285,Rio Grande do Norte
2020,RN,B,-520,1973.4127351260047,3714,Rio Grande do Norte
2020,RN,C,176,1099.1469319637845,29134,Rio Grande do Norte
2020,RN,D,289,2217.9232140083427,557,Rio Grande do Norte
2020,RN,E,-74,1448.7716986397054,1180,Rio Grande do Norte
2020,RN,F,1637,1415.9615017822468,38681,Rio Grande do Norte
2020,RN,G,2803,1075.1369320448437,61925,Rio Grande do Norte
2020,RN,H,-1413,1438.554732487657,7243,Rio Grande do Norte
2020,RN,I,-2026,1112.7811647643966,17610,Rio Grande do Norte
2020,RN,J,456,1369.9267055774644,3322,Rio Grande do Norte
2020,RN,K,-67,2077.4303571795003,1475,Rio Grande do Norte
2020,RN,L,127,1274.668430003475,1197,Rio Grande do Norte
2020,RN,M,111,1446.8489682288553,8155,Rio Grande do Norte
2020,RN,N,1998,1149.9013289525053,39066,Rio Grande do Norte
2020,RN,O,-11,2019.2292451923076,111,Rio Grande do Norte
2020,RN,P,-581,1142.3334820687198,7457,Rio Grande do Norte
2020,RN,Q,743,1287.2553548162189,10327,Rio Grande do Norte
2020,RN,R,-155,1493.9445640674458,1345,Rio Grande do Norte
2020,RN,S,136,1228.5830724038374,3082,Rio Grande do Norte
2020,RN,T,-14,1148.2092525252526,76,Rio Grande do Norte
2020,SE,A,-342,1066.0740282356844,5668,Sergipe
2020,SE,B,-754,2877.801982878733,1500,Sergipe
2020,SE,C,616,1115.5049032076215,25076,Sergipe
2020,SE,D,27,3033.6270252573727,329,Sergipe
2020,SE,E,102,1325.0419661885471,964,Sergipe
2020,SE,F,-1146,1321.540763814705,21582,Sergipe
2020,SE,G,-65,1103.8577124416756,33879,Sergipe
2020,SE,H,-751,1584.6646953497736,5565,Sergipe
2020,SE,I,-1421,1086.2367728032475,6909,Sergipe
2020,SE,J,354,1530.0268482918552,2172,Sergipe
2020,SE,K,-167,1999.605955500427,1135,Sergipe
2020,SE,L,6,1437.717055939955,664,Sergipe
2020,SE,M,22,1471.4217902808678,3666,Sergipe
2020,SE,N,679,1142.7967792346797,18625,Sergipe
2020,SE,O,-143,4037.425,405,Sergipe
2020,SE,P,-779,966.4954846112348,4805,Sergipe
2020,SE,Q,134,1730.8120126024578,6920,Sergipe
2020,SE,R,-214,1365.9515412600792,828,Sergipe
2020,SE,S,-96,1272.2863446532697,2336,Sergipe
2020,SE,T,2,1422.5,4,Sergipe
2021,AL,A,1974,1073.973259525071,11812,Alagoas
2021,AL,B,64,2528.7184032735663,470,Alagoas
2021,AL,C,3127,1000.6005113484356,62803,Alagoas
2021,AL,D,103,2326.356191120934,1267,Alagoas
2021,AL,E,756,1720.2449745563697,2694,Alagoas
2021,AL,F,2970,1441.286778655117,32654,Alagoas
2021,AL,G,7196,16403.848357952815,60582,Alagoas
2021,AL,H,925,1382.9602444901436,9313,Alagoas
2021,AL,I,3773,1170.6346039357247,18845,Alagoas
2021,AL,J,716,1503.26829195321,3430,Alagoas
2021,AL,K,155,2489.1200247731945,1083,Alagoas
2021,AL,L,557,1280.0727660056316,1861,Alagoas
2021,AL,M,906,1622.8178942169232,6276,Alagoas
