ano_bim,bimestre,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2016,5,PB,17837,18121,-284,35958,1126.8864302650222
2016,5,PE,73525,61353,12172,134878,1204.102976302366
2016,5,PI,13766,16425,-2659,30191,1111.7669361097078
2016,5,RN,23111,21815,1296,44926,1109.7828945635827
2016,5,SE,15349,13813,1536,29162,1139.7547840161603
2016,6,AL,14001,15710,-1709,29711,1149.4209864691243
2016,6,BA,79537,103356,-23819,182893,1362.4063075520892
2016,6,CE,54345,61716,-7371,116061,1191.9948247556922
2016,6,MA,19938,26433,-6495,46371,1317.50310364098
2016,6,PB,15844,20049,-4205,35893,1135.484968557068
2016,6,PE,53972,71843,-17871,125815,1274.2119352179243
2016,6,PI,12748,14757,-2009,27505,1178.6430227142032
2016,6,RN,19609,23750,-4141,43359,1150.0638045183923
2016,6,SE,11958,14739,-2781,26697,1192.3427461847295
2017,1,AL,12725,30834,-18109,43559,1129.0616963380314
2017,1,BA,92010,93859,-1849,185869,1343.155885982212
2017,1,CE,63613,70985,-7372,134598,1260.4644823053413
2017,1,MA,21481,25593,-4112,47074,1347.2231487671925
2017,1,PB,19999,27581,-7582,47580,1128.6104455001896
2017,1,PE,57270,87522,-30252,144792,1272.1419107504003
2017,1,PI,15803,16076,-273,31879,1152.6904383543942
2017,1,RN,22609,26846,-4237,49455,1159.3232840178757
2017,1,SE,13679,17704,-4025,31383,1170.048555249985
2017,2,AL,5955,15290,-9335,21245,1181.7759472817131
2017,2,BA,45596,48516,-2920,94112,1340.193503485209
2017,2,CE,30701,35376,-4675,66077,1256.4815291251116
2017,2,MA,10365,13166,-2801,23531,1371.5919000467468
2017,2,PB,8615,10554,-1939,19169,1187.61662058532
2017,2,PE,29119,32951,-3832,62070,1306.022200741099
2017,2,PI,7262,8209,-947,15471,1211.4511020619225
2017,2,RN,11662,12231,-569,23893,1165.2939773155315
2017,2,SE,6087,8564,-2477,14651,1224.1114599686027
2017,3,AL,7056,7207,-151,14263,1197.609479071724
2017,3,BA,49319,46353,2966,95672,1314.866314073083
2017,3,CE,29761,32701,-2940,62462,1226.4967340142807
2017,3,MA,12589,11807,782,24396,1313.584194130185
2017,3,PB,8808,9399,-591,18207,1208.3130114791015
2017,3,PE,29991,30186,-195,60177,1296.1108064542932
2017,3,PI,7517,6681,836,14198,1151.8692069305537
2017,3,RN,11730,11932,-202,23662,1186.5831290677036
2017,3,SE,6695,6828,-133,13523,1199.155290985728
2017,4,AL,13053,13618,-565,26671,1243.5593577087143
2017,4,BA,93370,90033,3337,183403,1373.6858776180734
2017,4,CE,67750,60904,6846,128654,1256.8561728294258
2017,4,MA,25396,22095,3301,47491,1331.3918519981648
2017,4,PB,23578,19258,4320,42836,1191.0157897329045
2017,4,PE,64483,59483,5000,123966,1344.0185607267604
2017,4,PI,14841,14526,315,29367,1241.6681287144297
2017,4,RN,25897,21693,4204,47590,1188.253117278822
2017,4,SE,12937,13090,-153,26027,1220.7717169198545
2017,5,AL,35635,11831,23804,47466,1124.3617425396785
2017,5,BA,85938,83677,2261,169615,1380.8140259502197
2017,5,CE,62387,57308,5079,119695,1236.2826363140036
2017,5,MA,23065,22142,923,45207,1320.4794568299344
2017,5,PB,19479,16590,2889,36069,1174.9932374921177
2017,5,PE,78122,55412,22710,133534,1284.4431981655248
2017,5,PI,15261,12888,2373,28149,1199.7225672934292
2017,5,RN,23123,20624,2499,43747,1137.274689900262
2017,5,SE,16804,11897,4907,28701,1186.5806300308536
2017,6,AL,8154,6686,1468,14840,1175.7926549865228
2017,6,BA,43439,44585,-1146,88024,1346.6156843588112
2017,6,CE,30435,27574,2861,58009,1251.3025392611491
2017,6,MA,11707,12010,-303,23717,1265.955601467302
2017,6,PB,9296,8040,1256,17336,1169.6214236271344
2017,6,PE,30329,30070,259,60399,1364.081176840676
2017,6,PI,7523,8067,-544,15590,1165.8854393842207
2017,6,RN,10380,10517,-137,20897,1176.8789778437097
2017,6,SE,6700,6656,44,13356,1153.697289607667
2018,1,AL,14739,27626,-12887,42365,1183.2769563369368
2018,1,BA,91369,85858,5511,177227,1382.2027698205738
2018,1,CE,63472,62194,1278,125666,1242.166655981352
2018,1,MA,21969,22927,-958,44896,1319.4239049552077
2018,1,PB,20858,26871,-6013,47729,1130.7776894945414
2018,1,PE,56393,68611,-12218,125004,1326.0227020763787
2018,1,PI,13981,14754,-773,28735,1149.8210338551344
2018,1,RN,21162,25371,-4209,46533,1179.879571464719
2018,1,SE,13269,14988,-1719,28257,1176.5025708457833
2018,2,AL,14586,24150,-9564,38736,1221.600630968554
2018,2,BA,99108,92981,6127,192089,1373.1779138277589
2018,2,CE,62404,59068,3336,121472,1249.570038811486
2018,2,MA,23635,21286,2349,44921,1324.6256269977569
2018,2,PB,19142,19355,-213,38497,1191.896692688132
2018,2,PE,60070,70029,-9959,130099,1330.1630220257082
2018,2,PI,14818,13284,1534,28102,1179.896182767311
2018,2,RN,22510,23070,-560,45580,1184.1177355717869
2018,2,SE,13578,15789,-2211,29367,1206.5273477222609
2018,3,AL,15157,14876,281,30033,1232.0347717339541
2018,3,BA,96844,92672,4172,189516,1344.2263929884316
2018,3,CE,63309,60545,2764,123854,1264.3334898026983
2018,3,MA,27713,22831,4882,50544,1310.2039049245172
2018,3,PB,18215,18517,-302,36732,1204.2618064002527
2018,3,PE,58813,58071,742,116884,1342.4644052405947
2018,3,PI,14884,13616,1268,28500,1179.5815594059404
2018,3,RN,22755,22249,506,45004,1182.3496106514372
2018,3,SE,12653,12675,-22,25328,1230.0872617677308
2018,4,AL,19362,14338,5024,33700,1193.649510187152
2018,4,BA,97354,90818,6536,188172,1371.5839669264178
2018,4,CE,65657,60202,5455,125859,1244.425488109022
2018,4,MA,24528,22741,1787,47269,1350.7237960888478
2018,4,PB,27568,18971,8597,46539,1178.2179545453346
2018,4,PE,69896,58444,11452,128340,1316.6145306100511
2018,4,PI,14783,14172,611,28955,1187.9524611538195
2018,4,RN,27734,22678,5056,50412,1196.349568940168
2018,4,SE,13586,14481,-895,28067,1227.3210860344957
2018,5,AL,31708,13151,18557,44859,1220.0333268944623
2018,5,BA,97109,87975,9134,185084,1369.0450961358902
2018,5,CE,67372,57348,10024,124720,1231.1521050712774
2018,5,MA,24389,21996,2393,46385,1364.1798310733525
2018,5,PB,20348,17026,3322,37374,1181.984266547909
2018,5,PE,77150,57066,20084,134216,1289.4801637925045
2018,5,PI,14945,13476,1469,28421,1188.5916135435218
2018,5,RN,24442,20225,4217,44667,1191.2561644882958
2018,5,SE,18280,11877,6403,30157,1179.060995275786
2018,6,AL,14527,15856,-1329,30383,1193.080450243228
2018,6,BA,85852,96593,-10741,182445,1369.023375139443
2018,6,CE,54508,57740,-3232,112248,1260.9515222422665
2018,6,MA,19009,22207,-3198,41216,1364.5353928092318
2018,6,PB,16851,18453,-1602,35304,1192.792788798498
2018,6,PE,55156,68297,-13141,123453,1364.0904183423243
2018,6,PI,12668,13777,-1109,26445,1194.5925701951846
2018,6,RN,21817,22399,-582,44216,1173.1455421750095
2018,6,SE,11467,13216,-1749,24683,1215.743512291443
2019,1,AL,8189,10444,-2255,18633,1269.3728331454945
2019,1,BA,49056,43350,5706,92406,1392.5220548449236
2019,1,CE,34029,32164,1865,66193,1305.5922529572613
2019,1,MA,11099,12081,-982,23180,1365.1840811044003
2019,1,PB,10607,10175,432,20782,1194.3561736117797
2019,1,PE,30408,42804,-12396,73212,1312.6021553843632
2019,1,PI,8056,8456,-400,16512,1297.9322311046512
2019,1,RN,11845,14094,-2249,25939,1185.3990130691236
2019,1,SE,7267,9429,-2162,16696,1180.6850143747006
2019,2,AL,6964,11656,-4692,18620,1379.9228786251342
2019,2,BA,55305,45212,10093,100517,1378.6296845309748
2019,2,CE,30735,28582,2153,59317,1325.86631151272
2019,2,MA,18321,11640,6681,29961,1388.8839825105972
2019,2,PB,10025,9247,778,19272,1208.5308738065587
2019,2,PE,31001,30576,425,61577,1360.448966334833
2019,2,PI,6828,6821,7,13649,1237.786431240384
2019,2,RN,11328,11829,-501,23157,1189.989592779721
2019,2,SE,6461,5812,649,12273,1290.14568565143
2019,3,AL,14977,16584,-1607,31561,1267.9413514964667
2019,3,BA,98531,93629,4902,192160,1402.328476183156
2019,3,CE,59981,61531,-1550,121512,1334.797240601029
2019,3,MA,25356,23461,1895,48817,1369.0340781694263
2019,3,PB,19518,19630,-112,39148,1253.1670186296433
2019,3,PE,60464,59016,1448,119480,1403.8162145675924
2019,3,PI,17668,15320,2348,32988,1202.1668094877632
2019,3,RN,22686,21945,741,44631,1222.019032537173
2019,3,SE,13296,12900,396,26196,1223.3758409838747
2019,4,AL,9503,8033,1470,17536,1299.355269160584
2019,4,BA,50878,53153,-2275,104031,1431.029962222799
2019,4,CE,32979,32089,890,65068,1326.996634290281
2019,4,MA,12199,12174,25,24373,1400.0826734501293
2019,4,PB,12015,10145,1870,22160,1273.418817689531
2019,4,PE,30016,30112,-96,60128,1412.3359998669505
2019,4,PI,7972,7619,353,15591,1242.914245397986
2019,4,RN,13174,12386,788,25560,1261.1762910798122
2019,4,SE,6187,6630,-443,12817,1270.9954747600843
2019,5,AL,9884,7594,2290,17478,1259.1230117862456
2019,5,BA,52668,53257,-589,105925,1447.4998725513335
2019,5,CE,34147,30651,3496,64798,1327.8047470600943
2019,5,MA,14353,11133,3220,25486,1386.440398650239
2019,5,PB,11695,9831,1864,21526,1231.0479884790486
2019,5,PE,36089,30982,5107,67071,1359.222435926108
2019,5,PI,8118,7394,724,15512,1238.6694816915935
2019,5,RN,13352,10372,2980,23724,1207.434581015006
2019,5,SE,9096,6412,2684,15508,1240.0620324993552
2019,6,AL,14613,14445,168,29058,1243.6631806595335
2019,6,BA,96541,103957,-7416,200498,1481.0454044604567
2019,6,CE,54980,53516,1464,108496,1337.6529822741297
2019,6,MA,21843,24101,-2258,45944,1368.8240098373617
2019,6,PB,19052,20101,-1049,39153,1267.0190081363708
2019,6,PE,57539,59703,-2164,117242,1366.7508671351643
2019,6,PI,12711,15468,-2757,28179,1260.4977621501928
2019,6,RN,21605,23048,-1443,44653,1240.4264300669988
2019,6,SE,13337,12861,476,26198,1252.4977266656413
2020,1,AL,16404,29025,-12621,45429,1045.5476882035189
2020,1,BA,97450,88602,8848,186052,1362.958188390316
2020,1,CE,66054,57929,8125,123983,1297.368017992359
2020,1,MA,23782,21985,1797,45767,1321.135162377709
2020,1,PB,20791,24805,-4014,45596,1120.6886590259455
2020,1,PE,61500,65916,-4416,127416,1273.3735697046995
2020,1,PI,13785,13432,353,27217,1242.8502600265706
2020,1,RN,21989,25781,-3792,47770,1145.0972689099267
2020,1,SE,13945,15817,-1872,29762,1157.1121933094364
2020,2,AL,10172,23484,-13312,33656,1051.8689685134182
2020,2,BA,69964,118815,-48851,188779,1354.1383211278978
2020,2,CE,43025,76794,-33769,119819,1237.4454599813146
2020,2,MA,18427,25523,-7096,43950,1344.3651673491393
2020,2,PB,14094,23455,-9361,37549,1195.2806810339841
2020,2,PE,40855,91861,-51006,132716,1431.9119829657204
2020,2,PI,9571,15097,-5526,24668,1269.9905917621109
2020,2,RN,15331,26162,-10831,41493,1203.078847044872
2020,2,SE,7732,15471,-7739,23203,1244.2215045539751
2020,3,AL,10730,12396,-1666,23126,1249.4864167236803
2020,3,BA,55070,76356,-21286,131426,1448.7935685292643
2020,3,CE,33083,44602,-11519,77685,1367.5560212985245
2020,3,MA,21391,18932,2459,40323,1466.052272409495
2020,3,PB,10309,13801,-3492,24110,1231.1629776879602
2020,3,PE,34868,45974,-11106,80842,17577.52349567211
2020,3,PI,7968,11068,-3100,19036,1444.121033523928
2020,3,RN,15843,17489,-1646,33332,1225.313964884987
2020,3,SE,6596,11023,-4427,17619,1336.737958259442
2020,4,AL,17064,11596,5468,28660,1196.7858230377087
2020,4,BA,81904,68751,13153,150655,1435.7643135373098
2020,4,CE,60990,41864,19126,102854,1392.930688040302
2020,4,MA,30055,18791,11264,48846,1704.8538946315375
2020,4,PB,25480,13684,11796,39164,1145.570756022875
2020,4,PE,66090,47827,18263,113917,1395.8804451372398
2020,4,PI,12666,9032,3634,21698,1385.736481679993
2020,4,RN,24733,17444,7289,42177,1215.9392860219095
2020,4,SE,9656,10117,-461,19773,1240.5507181902847
2020,5,AL,33673,12369,21304,46042,1062.1446586249435
2020,5,BA,106854,73992,32862,180846,1400.0727166131005
2020,5,CE,79880,50509,29371,130389,1322.2098527675562
2020,5,MA,32228,21203,11025,53431,1387.6353143435558
2020,5,PB,26290,22935,3355,49225,1171.6791092087722
2020,5,PE,86914,51575,35339,138489,1269.5620117698677
2020,5,PI,16610,10663,5947,27273,1302.3448026979322
2020,5,RN,27875,18763,9112,46638,1200.7612844281207
2020,5,SE,17754,10517,7237,28271,1239.3694664592963
2020,6,AL,17839,12613,5226,30452,1178.0748542758213
2020,6,BA,104050,90281,13769,194331,1369.9340510011725
2020,6,CE,69913,49727,20186,119640,1324.2900737565258
2020,6,MA,26457,25083,1374,51540,1316.2899368021908
2020,6,PB,28377,17042,11335,45419,1147.1121270058725
2020,6,PE,71204,59913,11291,131117,1322.2258780970724
2020,6,PI,14655,12708,1947,27363,1262.074769141433
2020,6,RN,25172,21360,3812,46532,1228.8427681032676
2020,6,SE,13865,10539,3326,24404,1212.670651424091
2021,1,AL,18421,19165,-744,37586,1201.674468072687
2021,1,BA,119303,85577,33726,204880,1410.0798923880302
2021,1,CE,82663,62242,20421,144905,1400.9013219563653
2021,1,MA,31083,27746,3337,58829,1374.904682768359
2021,1,PB,25258,25519,-261,50777,1182.0002926383036
2021,1,PE,75483,72243,3240,147726,1267.868595460616
2021,1,PI,18979,14480,4499,33459,1310.5167806144552
2021,1,RN,28999,24945,4054,53944,1245.1925217793291
2021,1,SE,14867,14206,661,29073,1230.1954906932997
2021,2,AL,18539,30218,-11679,48757,1121.7085937865913
2021,2,BA,113679,94306,19373,207985,1464.8828074495675
2021,2,CE,65423,63309,2114,128732,1462.119897126023
2021,2,MA,31218,24456,6762,55674,1420.9544981731538
2021,2,PB,23842,21247,2595,45089,1206.9257127713486
2021,2,PE,70080,67602,2478,137682,1397.2567984173706
2021,2,PI,16711,13341,3370,30052,1295.3951740523116
2021,2,RN,27888,25904,1984,53792,1272.5411953770345
2021,2,SE,13854,15698,-1844,29552,1303.8192249453728
2021,3,AL,22135,13915,8220,36050,1280.4375748725997
2021,3,BA,115863,96215,19648,212078,1518.1232925282027
2021,3,CE,70187,55683,14504,125870,1420.6222808897915
2021,3,MA,34789,24045,10744,58834,1407.0914406985469
2021,3,PB,24406,18034,6372,42440,1241.2674986067263
2021,3,PE,72034,56857,15177,128891,15259.05779250646
2021,3,PI,21162,12636,8526,33798,1289.7338544331628
2021,3,RN,28029,20976,7053,49005,1263.052693648027
2021,3,SE,13662,12025,1637,25687,1356.7507110905485
2021,4,AL,26423,16842,9581,43265,1247.4788074026737
2021,4,BA,124578,95318,29260,219896,1457.654666558114
2021,4,CE,91912,61461,30451,153373,1368.8406986425612
2021,4,MA,36519,26723,9796,63242,1376.8535935445097
2021,4,PB,35326,21324,14002,56650,1185.5026978778992
2021,4,PE,87076,60508,26568,147584,1373.9265749486244
2021,4,PI,20346,14525,5821,34871,1346.0203199346688
2021,4,RN,35194,23017,12177,58211,1234.981933691221
2021,4,SE,15679,12415,3264,28094,1294.093563057585
2021,5,AL,38148,17614,20534,55762,1138.842733744219
2021,5,BA,130756,106686,24070,237442,1476.7985263346507
2021,5,CE,91392,69326,22066,160718,1360.20509300553
2021,5,MA,36289,27835,8454,64124,1439.6532045850618
2021,5,PB,30513,21098,9415,51611,1250.582735053858
2021,5,PE,106120,67407,38713,173527,1332.0431899295486
2021,5,PI,20824,15909,4915,36733,958570.8343430435
2021,5,RN,33616,23345,10271,56961,1257.850366037566
2021,5,SE,23020,14310,8710,37330,1281.925870159822
2021,6,AL,22431,18082,4349,40513,28857.95098882124
2021,6,BA,125058,114703,10355,239761,1424.8173734129084
2021,6,CE,76732,65626,11106,142358,1402.209922496827
2021,6,MA,32484,30725,1759,63209,1407.3900379349827
2021,6,PB,27212,23036,4176,50248,1260.2686515848823
2021,6,PE,80805,75931,4874,156736,1426.261593058927
2021,6,PI,17310,17590,-280,34900,1341.5166974009903
2021,6,RN,27818,25631,2187,53449,1295.5631248482923
2021,6,SE,16085,14845,1240,30930,1255.4648660714656
2022,1,AL,23898,24755,-857,48653,1351.672422627349
2022,1,BA,139858,115966,23892,255824,1477.9430404266504
2022,1,CE,86734,80189,6545,166923,1465.3542807186366
2022,1,MA,37784,33669,4115,71453,1472.584986476619
2022,1,PB,29288,31809,-2521,61097,1266.6388794276334
2022,1,PE,85108,84037,1071,169145,1509.1266969043809
2022,1,PI,20100,18826,1274,38926,1379.4132492162312
2022,1,RN,29573,30414,-841,59987,1336.4229443952802
2022,1,SE,18224,17757,467,35981,1307.0904180362381
2022,2,AL,24872,35185,-10313,60057,1285.0203296115692
2022,2,BA,149102,125243,23859,274345,1496.24438659019
2022,2,CE,85471,76772,8699,162243,1476.628748480185
2022,2,MA,39220,34197,5023,73417,1495.0423313615215
2022,2,PB,30755,27471,3284,58226,1294.5575865367323
2022,2,PE,83184,90314,-7130,173498,1506.3760747415236
2022,2,PI,20951,19089,1862,40040,1389.8526644411027
2022,2,RN,30314,29753,561,60067,1363.8131695538618
2022,2,SE,18187,19029,-842,37216,1323.9586666868288
2022,3,AL,28406,21467,6939,49873,1369.4570677899944
2022,3,BA,146595,116894,29701,263489,1596.1421761581123
2022,3,CE,91623,74554,17069,166177,1511.4213112055781
2022,3,MA,45142,33499,11643,78641,1554.099402265674
2022,3,PB,31536,24775,6761,56311,1315.8225815628116
2022,3,PE,87782,74140,13642,161922,1510.5011401371366
2022,3,PI,24651,17779,6872,42430,1379.0736950117607
2022,3,RN,34147,26899,7248,61046,1385.8040353870008
2022,3,SE,17559,15868,1691,33427,1411.9343032452084
2022,4,AL,28659,22406,6253,51065,1363.5209052396985
2022,4,BA,155165,124638,30527,279803,1545.674157118603
2022,4,CE,99076,80266,18810,179342,1491.0756103190065
2022,4,MA,47407,36627,10780,84034,1583.5301310382238
2022,4,PB,37373,27316,10057,64689,1335.0609072736747
2022,4,PE,106468,82265,24203,188733,1531.4201835033098
2022,4,PI,23098,20237,2861,43335,1392.4385391348835
2022,4,RN,38491,29637,8854,68128,1376.4702674871828
2022,4,SE,19315,16623,2692,35938,1365.032661805977
2022,5,AL,42103,22100,20003,64203,1291.583478383497
2022,5,BA,145177,122846,22331,268023,1565.621252889491
2022,5,CE,94681,77580,17101,172261,1504.1915690596463
2022,5,MA,43480,33271,10209,76751,1547.2479572992106
2022,5,PB,31059,25995,5064,57054,1406.7101385653514
2022,5,PE,105378,76339,29039,181717,1482.610878258475
2022,5,PI,22219,18519,3700,40738,1429.12679834554
2022,5,RN,33507,27322,6185,60829,1401.671880591252
2022,5,SE,22151,15890,6261,38041,1379.9735156176214
2022,6,AL,23358,24604,-1246,47962,1446.7346943100674
2022,6,BA,120188,132204,-12016,252392,1565.0554277998913
2022,6,CE,74112,74524,-412,148636,1547.1156692046288
2022,6,MA,34694,37870,-3176,72564,1519.6680167184004
2022,6,PB,26817,26653,164,53470,1371.0142242717234
2022,6,PE,80653,81795,-1142,162448,11114.966148784122
2022,6,PI,17856,21935,-4079,39791,1439.5938386106936
2022,6,RN,28277,29490,-1213,57767,1412.949965517362
2022,6,SE,15733,15780,-47,31513,1438.9068869588582
2023,1,AL,24938,24902,36,49840,1485.481131177627
2023,1,BA,139050,127305,11745,266355,1600.2456651127416
2023,1,CE,87826,86459,1367,174285,1565.8427215472088
2023,1,MA,37728,35840,1888,73568,1615.440626777628
2023,1,PB,29528,30737,-1209,60265,1394.5597607775153
2023,1,PE,93108,86020,7088,179128,9848.090120007635
2023,1,PI,20353,19155,1198,39508,1516.4923919608586
2023,1,RN,30730,30340,390,61070,1437.5271858369297
2023,1,SE,18933,18052,881,36985,1417.4961587204837
2023,2,AL,27099,31035,-3936,58134,1420.320546801411
2023,2,BA,156421,135841,20580,292262,1611.5184082988171
2023,2,CE,90436,81203,9233,171639,1613.6729688244777
2023,2,MA,40085,35126,4959,75211,1673.6417811754043
2023,2,PB,31186,35182,-3996,66368,1334.5841901271478
2023,2,PE,88866,96556,-7690,185422,1562.1423395187162
2023,2,PI,23874,20061,3813,43935,1485.8213660435404
2023,2,RN,33913,32414,1499,66327,1537.7657088881847
