ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,MA,1,6,5118,4936,182,1332.1792026642097,10054,Maranhão
2020,MA,1,7,68748,57416,11332,1302.2217175057433,126164,Maranhão
2020,MA,1,8,1817,1674,143,1620.3357882866158,3491,Maranhão
2020,MA,1,9,4543,3816,727,2894.5805734199184,8359,Maranhão
2020,MA,1,10,117,139,-22,2290.279807937953,256,Maranhão
2020,MA,1,11,38,49,-11,3435.9133601349627,87,Maranhão
2020,MA,1,80,392,359,33,3954.708209633669,751,Maranhão
2020,MA,2,1,49,44,5,989.5923616822992,93,Maranhão
2020,MA,2,2,231,249,-18,1056.1880777656827,480,Maranhão
2020,MA,2,3,146,153,-7,1286.4797344739416,299,Maranhão
2020,MA,2,4,373,502,-129,1235.6594569402548,875,Maranhão
2020,MA,2,5,1102,1192,-90,1081.805507616292,2294,Maranhão
2020,MA,2,6,931,1180,-249,978.9104564182948,2111,Maranhão
2020,MA,2,7,34281,29522,4759,1116.4357488298858,63803,Maranhão
2020,MA,2,8,2114,1832,282,1335.167818195807,3946,Maranhão
2020,MA,2,9,7567,5597,1970,2130.3459316512044,13164,Maranhão
2020,MA,2,10,133,189,-56,1737.3779571019184,322,Maranhão
2020,MA,2,11,21,42,-21,1019.424997863248,63,Maranhão
2020,MA,2,80,630,477,153,3722.040479033452,1107,Maranhão
2020,PB,1,1,1377,1115,262,1013.7055446235112,2492,Paraíba
2020,PB,1,2,6387,4976,1411,1080.6617198019107,11363,Paraíba
2020,PB,1,3,2707,2593,114,1192.1161866641005,5300,Paraíba
2020,PB,1,4,5863,5742,121,1134.4343995779566,11605,Paraíba
2020,PB,1,5,6506,6277,229,1164.8968565346129,12783,Paraíba
2020,PB,1,6,5853,5490,363,1015.8679591374748,11343,Paraíba
2020,PB,1,7,50177,43724,6453,1138.9517060082878,93901,Paraíba
2020,PB,1,8,2920,2385,535,1322.4400673471644,5305,Paraíba
