exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2021,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,13242497452.17,3281480,Ativo Não Circulante,Piauí
2021,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,18078269631.46,3281480,Passivo Total,Piauí
2021,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1333146121.11,3281480,Passivo Circulante,Piauí
2021,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,31431622580.06,3281480,Passivo Não Circulante,Piauí
2021,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-14686499069.71,3281480,Patrimônio Líquido,Piauí
2022,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,19673276763.44,3289290,Ativo Total,Piauí
2022,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,3561917395.95,3289290,Ativo Circulante,Piauí
2022,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,16111359367.49,3289290,Ativo Não Circulante,Piauí
2022,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,19673276763.44,3289290,Passivo Total,Piauí
2022,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1314318521.34,3289290,Passivo Circulante,Piauí
2022,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,33745910742.57,3289290,Passivo Não Circulante,Piauí
2022,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-15386952500.47,3289290,Patrimônio Líquido,Piauí
2023,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,23518266546.59,3289290,Ativo Total,Piauí
