exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2020,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,63678848289.82,9132078,Passivo Total,Ceará
2020,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3212590165.74,9132078,Passivo Circulante,Ceará
2020,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,18016475997.96,9132078,Passivo Não Circulante,Ceará
2020,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,42449782126.12,9132078,Patrimônio Líquido,Ceará
2021,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,67466531997.76,9187103,Ativo Total,Ceará
2021,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,24667504191.41,9187103,Ativo Circulante,Ceará
2021,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,42799027806.35,9187103,Ativo Não Circulante,Ceará
2021,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,67466531997.76,9187103,Passivo Total,Ceará
2021,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3476944270.73,9187103,Passivo Circulante,Ceará
2021,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,19230128736.21,9187103,Passivo Não Circulante,Ceará
2021,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,44759458990.82,9187103,Patrimônio Líquido,Ceará
2022,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,66655431808.88,9240580,Ativo Total,Ceará
2022,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,19634084897.4,9240580,Ativo Circulante,Ceará
2022,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,47021346911.48,9240580,Ativo Não Circulante,Ceará
2022,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,66655431808.88,9240580,Passivo Total,Ceará
2022,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3681530526.42,9240580,Passivo Circulante,Ceará
2022,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,18307984885.67,9240580,Passivo Não Circulante,Ceará
2022,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,44665916396.79,9240580,Patrimônio Líquido,Ceará
2023,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,71210855451.15,9240580,Ativo Total,Ceará
2023,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,20259292016.22,9240580,Ativo Circulante,Ceará
2023,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,50951563434.93,9240580,Ativo Não Circulante,Ceará
2023,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,71210855451.15,9240580,Passivo Total,Ceará
2023,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,4529137936.32,9240580,Passivo Circulante,Ceará
2023,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,17751105198.05,9240580,Passivo Não Circulante,Ceará
2023,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,48930612316.78,9240580,Patrimônio Líquido,Ceará
2024,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,73584911690.43,8936431,Ativo Total,Ceará
2024,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,20687444696.89,8936431,Ativo Circulante,Ceará
2024,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,52897466993.54,8936431,Ativo Não Circulante,Ceará
2024,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,73584911690.43,8936431,Passivo Total,Ceará
2024,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,10527678788.96,8936431,Passivo Circulante,Ceará
2024,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,106977451489.65,8936431,Passivo Não Circulante,Ceará
2024,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-43920218588.18,8936431,Patrimônio Líquido,Ceará
