exercicio,periodo,uf,anexo,cod_conta,conta,coluna,valor,populacao,uf_nome
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,5791212596.77,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,5913640195.08,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6422020199.25,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,7314129163.62,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5172486827.64,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5304669352.79,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5841261256.13,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,6361055897.03,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5247477190.13,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4558107464.64,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4845990231.29,6850884,Maranhão
2015,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,6443795620.52,6850884,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",5727514049.68,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4076454155.45,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1515028327.78,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",4817477771.22,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,10802513622.52,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4817477771.22,6904241,Maranhão
2016,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,44.6,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7314129163.62,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6872092155.21,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,6361055897.03,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5987327845.34,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,6443795620.52,6904241,Maranhão
2016,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5097073267.23,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",6078896880.89,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4356259259.24,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1587772250.85,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",4989513931.52,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,11394735552.87,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4989513931.52,6904241,Maranhão
2016,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,43.79,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7314129163.62,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6872092155.21,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6771279718.3,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,6361055897.03,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5987327845.34,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5906802768.09,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,6443795620.52,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5097073267.23,6904241,Maranhão
2016,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4455144253.72,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",6088478836.26,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),3809973.33,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4269711382.83,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),2849224.39,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1666054114.81,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",4860919884.49,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),3684259.05,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,12480062588.49,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),Valor,4864604143.54,6904241,Maranhão
2016,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b),% sobre a RCL,38.98,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7314129163.62,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6872092155.21,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6771279718.3,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,7051309013.64,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,6361055897.03,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5987327845.34,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5906802768.09,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,5948863939.29,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,6443795620.52,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,5097073267.23,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4455144253.72,6904241,Maranhão
2016,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,5454289371.28,6904241,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",6285848485.22,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4408300709.23,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1734252464.43,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",4974985556.28,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,12860550166.11,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),Valor,4974985556.28,6954036,Maranhão
2017,1,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),% sobre a RCL Ajustada,38.68,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7051309013.64,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6787593246.03,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5948863939.29,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5685148171.68,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5454289371.28,6954036,Maranhão
2017,1,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4264734373.12,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",6438133030.11,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4603540713.2,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1810077949.75,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",5096888098.56,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,12905924627.02,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),Valor,5096888098.56,6954036,Maranhão
2017,2,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),% sobre a RCL Ajustada,39.49,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7051309013.64,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6787593246.03,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6752264144.8,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5948863939.29,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5685148171.68,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5718916476.43,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5454289371.28,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4264734373.12,6954036,Maranhão
2017,2,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4571244203.6,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),"DESPESAS LIQUIDADAS 
(a)",6638633793.45,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),4725204.9,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,"DESPESAS LIQUIDADAS 
(a)",4726899142.93,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalAtivoBruta,Pessoal Ativo,DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),4725204.9,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas,"DESPESAS LIQUIDADAS 
(a)",1911138704.16,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),"DESPESAS LIQUIDADAS 
(a)",5182817433.55,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II),DESPESAS INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),4725204.9,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV),Valor,12536618595.33,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),Valor,5187542638.45,6954036,Maranhão
2017,3,MA,RGF-Anexo 01,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb),% sobre a RCL Ajustada,41.38,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),SALDO DO EXERCÍCIO ANTERIOR,7051309013.64,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 1º Quadrimestre,6787593246.03,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 2º Quadrimestre,6752264144.8,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidada,DÍVIDA CONSOLIDADA - DC (I),Até o 3º Quadrimestre,7197768744.13,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,SALDO DO EXERCÍCIO ANTERIOR,5948863939.29,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 1º Quadrimestre,5685148171.68,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 2º Quadrimestre,5718916476.43,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaContratual,Dívida Contratual,Até o 3º Quadrimestre,5936628970.82,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),SALDO DO EXERCÍCIO ANTERIOR,5454289371.28,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 1º Quadrimestre,4264734373.12,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 2º Quadrimestre,4571244203.6,6954036,Maranhão
2017,3,MA,RGF-Anexo 02,DividaConsolidadaLiquida,DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II),Até o 3º Quadrimestre,5487449666.98,6954036,Maranhão
