exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2020,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,62763163115.29,3506853,Passivo Não Circulante,Rio Grande do Norte
2020,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-54225477234.01,3506853,Patrimônio Líquido,Rio Grande do Norte
2021,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,15936589490.84,3534165,Ativo Total,Rio Grande do Norte
2021,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,5088647955.58,3534165,Ativo Circulante,Rio Grande do Norte
2021,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,10847941535.26,3534165,Ativo Não Circulante,Rio Grande do Norte
2021,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,15936589490.84,3534165,Passivo Total,Rio Grande do Norte
2021,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,4101234933.64,3534165,Passivo Circulante,Rio Grande do Norte
2021,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,63621233992.55,3534165,Passivo Não Circulante,Rio Grande do Norte
2021,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-51785879435.35,3534165,Patrimônio Líquido,Rio Grande do Norte
2022,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,17274717487.64,3560903,Ativo Total,Rio Grande do Norte
2022,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,5813952904.99,3560903,Ativo Circulante,Rio Grande do Norte
2022,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11460764582.65,3560903,Ativo Não Circulante,Rio Grande do Norte
2022,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,17274717487.64,3560903,Passivo Total,Rio Grande do Norte
2022,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3753309502.14,3560903,Passivo Circulante,Rio Grande do Norte
2022,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,58861515421.78,3560903,Passivo Não Circulante,Rio Grande do Norte
2022,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-45340107436.28,3560903,Patrimônio Líquido,Rio Grande do Norte
2023,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,18536356544.19,3560903,Ativo Total,Rio Grande do Norte
2023,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,6379243961.51,3560903,Ativo Circulante,Rio Grande do Norte
2023,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,12157112582.68,3560903,Ativo Não Circulante,Rio Grande do Norte
2023,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,18536356544.19,3560903,Passivo Total,Rio Grande do Norte
2023,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3598652401.12,3560903,Passivo Circulante,Rio Grande do Norte
2023,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,83001403091.66,3560903,Passivo Não Circulante,Rio Grande do Norte
2023,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-68063698948.59,3560903,Patrimônio Líquido,Rio Grande do Norte
2024,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,22363916544.67,3303953,Ativo Total,Rio Grande do Norte
2024,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,7442533743.66,3303953,Ativo Circulante,Rio Grande do Norte
2024,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,14921382801.01,3303953,Ativo Não Circulante,Rio Grande do Norte
2024,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,22363916544.67,3303953,Passivo Total,Rio Grande do Norte
2024,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,4205319080.25,3303953,Passivo Circulante,Rio Grande do Norte
2024,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,86140025375.37,3303953,Passivo Não Circulante,Rio Grande do Norte
2024,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-67981427910.95,3303953,Patrimônio Líquido,Rio Grande do Norte
