uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
AL,Alagoas,2016,5,32457,13230,19227,45687,1042.9695815077944,663297.0,371343.30792738264,245591.78869888335,223607.23558003287,96.34,93.59054,14.1,0.17,4.18,5.779999999999999,,12248537686.974413,821158707.1135108,5340945061.090748,,3105525.0,4837294.836645756,238401.0,1547944.0,2411141.9224178772,157669.0,143555.0,162.7,,7863514895.18,2016.0,529714100.51,3428866540.2800007
AL,Alagoas,2016,6,14001,15710,-1709,29711,1149.4209864691245,663297.0,375633.2911733524,241321.53199376888,227431.8092005616,95.69,93.2166,13.775,0.24,4.02,5.68,,12189960052.936035,821158707.1135108,14358890963.59143,,3117809.0,4833203.429929342,242314.0,1569164.0,2432505.912620576,155672.0,146712.0,,,7863514895.18,2016.0,529714100.51,9262651598.54
AL,Alagoas,2017,1,12725,30834,-18109,43559,1129.0616963380314,650052.0,374950.6855377529,236252.45663048985,223191.9684132602,96.58,95.10675,12.995,0.355,3.99,5.62,,11525717864.616163,992637515.785697,6713586192.366681,,3083038.0,4745548.788717878,243594.0,1575512.0,2425097.927177829,153486.0,145001.0,164.35,,7487906612.27,2017.0,659204688.67,4361611747.95
AL,Alagoas,2017,2,5955,15290,-9335,21245,1181.7759472817131,650052.0,374970.81849066325,231954.5276086021,224610.21574568911,97.23,94.9326,11.87,0.195,4.025,5.720000000000001,,11480902163.022806,992637515.785697,5289943048.752382,,3082414.0,4726139.813488331,244558.0,1586373.0,2432321.094552167,151282.0,146492.0,165.73,,7487906612.27,2017.0,659204688.67,3450129525.609999
AL,Alagoas,2017,3,7056,7207,-151,14263,1197.609479071724,650052.0,380794.26888865547,229731.6122280672,224611.51934395035,95.87,95.24586,10.65,0.0399999999999999,3.975,5.734999999999999,,11430267060.310308,992637515.785697,6287688009.388066,,3090213.0,4734343.983155378,248553.0,1604318.0,2457886.6474148775,149951.0,146609.0,,,7460792876.25,2017.0,659204688.67,4104115648.480001
AL,Alagoas,2017,4,13053,13618,-565,26671,1243.5593577087143,650052.0,383976.55138256337,225253.61251961865,222370.4590284322,96.69,95.07244,9.58,0.215,3.94,5.605,,11381275676.285196,992637515.785697,5114079018.851577,,3063766.0,4673707.745544063,251709.0,1620808.0,2472507.007271372,147661.0,145771.0,166.12,,7460792876.25,2017.0,659204688.67,3352443557.089999
AL,Alagoas,2017,5,35635,11831,23804,47466,1124.3617425396783,650052.0,385205.65609676746,215977.00552203463,220956.2369171614,96.25,95.32205,8.18,0.29,3.87,5.395,,10617215049.456112,992637515.785697,10352551691.683558,,3068523.0,4653940.316256024,253981.0,1636329.0,2481772.991031484,142402.0,145685.0,167.02,,7000340864.15,2017.0,659204688.67,6825838067.510001
AL,Alagoas,2017,6,8154,6686,1468,14840,1175.7926549865228,650052.0,388815.3973360677,218618.12412936104,221757.73957200735,97.45,96.86882,7.2,0.36,3.65,5.075,,10541188623.92004,992637515.785697,9514592328.599674,,3105277.0,4675959.531364208,258210.0,1660162.0,2499889.809349912,145183.0,147268.0,,,7000340864.15,2017.0,659204688.67,6318584351.34
AL,Alagoas,2018,1,14739,27626,-12887,42365,1183.2769563369368,651772.0,388787.74313355313,211745.4828060655,218401.16186597993,97.91,95.90327,6.8100000000000005,0.305,3.71,5.01,,8859361985.03043,1403615183.9210064,2377434778.922294,,3074312.0,4601221.947839811,259769.0,1669009.0,2497951.0348794055,141478.0,145925.0,168.01,,5919393407.16,2018.0,967045378.24,1588485918.07
AL,Alagoas,2018,2,14586,24150,-9564,38736,1221.600630968554,651772.0,392761.34383379057,207658.9941881465,220190.62916052892,98.28,96.45372,6.49,0.155,3.63,4.705,,8831965404.983482,1403615183.9210064,1702570588.2262597,,3103899.0,4631138.142533976,263238.0,1688992.0,2520041.816320294,139178.0,147577.0,167.85,,5919393407.16,2018.0,967045378.24,1141103327.86
AL,Alagoas,2018,3,15157,14876,281,30033,1232.034771733954,651772.0,392456.05605053494,205179.6710414269,222310.9980235777,98.24,96.16264,6.4,0.8300000000000001,3.53,4.495,,10017239459.609451,1403615183.9210064,4452532151.218589,,3138842.0,4606573.172903985,267413.0,1706124.0,2503912.286138531,139806.0,151479.0,,,6825579614.11,2018.0,967045378.24,3033881021.3200006
AL,Alagoas,2018,4,19362,14338,5024,33700,1193.649510187152,651772.0,398616.964995496,202289.3764187903,227462.99630012727,98.51,97.28302,6.4,0.12,3.495,4.25,,9993285255.054531,1403615183.9210064,1554238063.5946467,,3166304.0,4635764.413444031,272262.0,1731984.0,2535786.1379875233,138167.0,155361.0,169.46,,6825579614.11,2018.0,967045378.24,1061570381.67
