regiao_codigo,regiao_nome,ano,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,bf_valor_total,bf_beneficiarios,bpc_valor_total,bpc_beneficiarios,transf_fed_fpm_dest,transf_fed_fundeb_dest,transf_fed_itr_dest,transf_fed_outros_dest,transf_fed_royalties_dest,transf_fed_total,transf_est_icms,transf_est_ipva,transf_est_total,invest_mun_valor,bnb_bnb_operacoes_credito_total,bnb_bnb_emprestimos_titulos_descontados,bnb_bnb_financiamentos,bnb_bnb_financiamentos_rurais_agricultura,bnb_bnb_financiamentos_agroindustriais,bnb_bnb_financiamentos_imobiliarios,bnb_credito_bnb_total,pop,siof_anual_empenhado,siof_anual_pago,siof_obras_pago_anual,siof_equip_pago_anual,siof_anual_dotacao,siof_anual_n_acoes,invest_fed_direto_ce,invest_fed_ne_rateado,invest_fed_nacional_rateado,invest_fed_total,ibcr_ce,invest_total_ce_r_2010_mi,share_pib_ce_br,siof_obras_pago,siof_equip_pago,siof_invest_pago,deflator,salario_medio_real,bf_valor_total_real,bpc_valor_total_real,transf_fed_fpm_dest_real,transf_fed_fundeb_dest_real,transf_fed_itr_dest_real,transf_fed_outros_dest_real,transf_fed_royalties_dest_real,transf_fed_total_real,transf_est_icms_real,transf_est_ipva_real,transf_est_total_real,invest_mun_valor_real,bnb_bnb_operacoes_credito_total_real,bnb_bnb_emprestimos_titulos_descontados_real,bnb_bnb_financiamentos_real,bnb_bnb_financiamentos_rurais_agricultura_real,bnb_bnb_financiamentos_agroindustriais_real,bnb_bnb_financiamentos_imobiliarios_real,bnb_credito_bnb_total_real,siof_anual_empenhado_real,siof_anual_pago_real,siof_anual_dotacao_real,siof_obras_pago_anual_real,siof_equip_pago_anual_real,siof_obras_pago_real,siof_equip_pago_real,siof_invest_pago_real,invest_fed_direto_ce_real,invest_fed_ne_rateado_real,invest_fed_nacional_rateado_real,invest_fed_total_real
11,Sertão de Sobral,2015,1,2518.0,3322.0,-804.0,5840.0,805.4099315068493,19794308.0,60306.0,,,46949594.94,66244389.39,4003.07,4733.92,727801.9,113930523.22,18014131.33,4728052.73,22742184.060000002,8868652.72,75158166.0,55969768.0,11687787.0,228103.0,0.0,0.0,75158166.0,485904.0,,,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,,,,1.7794885417848645,1433.2177445561708,35223744.278560475,,83546266.23717065,117881131.87703985,7123.417196962738,8423.956397726206,1295115.141739254,202738060.62954444,32055940.291942738,8413515.65798965,40469455.9499324,15781665.896309173,133743095.21856478,99597560.84235717,20798283.045322094,405906.67484675295,0.0,0.0,133743095.21856478,,,,,,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
12,Sertão dos Crateús,2015,1,341.0,309.0,32.0,650.0,949.8,19620242.0,56387.0,,,34835695.0,49355897.94,3763.9700000000003,3466.29,485993.0,84684816.19999999,3441031.54,1574290.42,5015321.959999999,5477932.63,62385162.0,48220485.0,6276427.0,431336.0,0.0,0.0,62385162.0,349155.0,,,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,,,,1.7794885417848645,1690.1582169872643,34913995.826046154,,61989720.09761229,87828254.8537332,6697.941486621977,6168.2233375034575,864818.9748876516,150695660.09105724,6123276.197350327,2801431.7638316816,8924707.961182008,9747918.347754428,111013680.95639254,85807800.53680894,11168829.929849152,767557.4696593164,0.0,0.0,111013680.95639254,,,,,,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
13,Sertão dos Inhamuns,2015,1,160.0,289.0,-129.0,449.0,1131.6659242761693,6385401.0,20525.0,,,13063385.62,20803091.47,1604.81,1312.3,165002.77000000002,34034396.97,663027.0,69481.01,732508.01,255531.22,16829327.0,14003500.0,1482084.0,1704.0,41396.0,0.0,16829327.0,134452.0,,,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,,,,1.7794885417848645,2013.7865453778215,11362747.914201615,,23246145.027707167,37018862.90456745,2855.741006741768,2335.2228133842777,293620.5385777634,60563819.434672505,1179848.9493939932,123640.66116663958,1303489.610560633,454714.8780583074,29947594.562450647,24919067.79488435,2637351.495962679,3032.2484752014093,73663.70767572625,0.0,29947594.562450647,,,,,,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
14,Vale do Jaguaribe,2015,1,2029.0,3030.0,-1001.0,5059.0,899.0300454635303,17312444.0,56129.0,,,37210856.14,49552217.43,3563.5499999999997,3754.5,473281.56,87243673.17999999,9432331.920000002,3444043.2,12876375.120000001,12026815.55,52365494.0,35948018.0,8674923.0,3604356.0,505552.0,0.0,52365494.0,388005.0,,,,,,,0.0,2423.296862,164269.529718,166692.82658,99.47999999999999,2651.7064150099313,0.0203,,,,1.7794885417848645,1599.813664622678,30807295.728292126,,66216292.13113497,88177603.13671724,6341.296393077453,6681.089730131273,842199.1130580659,155249116.7670335,16784726.573951636,6128635.411812079,22913361.98576371,21401580.465385035,93183796.55790406,63969086.130876064,15436926.079365982,6413910.202513527,899623.9912764218,0.0,93183796.55790406,,,,,,,,,0.0,4312.228999272218,292315.7458975693,296627.9748968415
01,Cariri,2015,2,4908.0,5072.0,-164.0,9980.0,1005.7542084168336,48925432.0,140115.0,,,64081245.379999995,126850113.52000001,6749.72,175485.57,866369.62,191979963.81,7438298.35,1300651.83,8738950.18,12278510.07,188513084.0,137541402.0,24151154.0,4226888.0,0.0,0.0,188513084.0,1004530.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1753.9583541631966,85322208.41762386,,111752786.8527202,221216888.25461343,11770.995023622974,306033.40156149305,1510882.30113814,334798361.80505687,12971822.958889104,2268237.23330688,15240060.192195985,21412781.70523734,328752388.78824896,239861677.00054622,42117763.929281816,7371369.125446931,0.0,0.0,328752388.78824896,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
02,Centro Sul,2015,2,914.0,909.0,5.0,1823.0,958.6143719144268,21134830.0,60125.0,,,27255539.89,48889419.54000001,3062.71,53973.92,342254.73,76544250.78999999,6134678.18,2028021.0,8162699.18,4308086.67,56531298.0,43560227.0,5525382.0,756080.0,0.0,0.0,56531298.0,388364.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1671.7500876152167,36857525.75738216,,47531575.29665637,85259405.44395262,5341.131805289748,94126.38505381327,596866.0512793752,133487314.30874744,10698409.167833397,3536713.3894150998,14235122.557248496,7512973.390586049,98586256.53167056,75965701.57649311,9635843.268404609,1318545.6459617373,0.0,0.0,98586256.53167056,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
03,Grande Fortaleza,2015,2,64590.0,68581.0,-3991.0,133171.0,1125.6126934542806,101933923.0,331649.0,,,152538247.44,312181496.79,24794.36,1275335.45,5119155.84,471139029.88,219343495.47,62943559.72,282287055.19,179320161.89999998,4438462189.0,716190134.0,844325052.0,13652173.0,0.0,676207842.0,4438462189.0,3985295.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1962.9823775174657,177764959.19406542,,266015027.51646137,544420634.5125815,43239.46595916816,2224087.4044256597,8927415.93988943,821630404.8393171,382518266.48237824,109768750.14567055,492287016.6280488,312720636.3167903,7740338316.1461115,1248980773.021973,1472438261.9445264,23808344.708319742,0.0,1179254716.2129436,7740338316.1461115,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
04,Litoral Leste,2015,2,1318.0,1307.0,11.0,2625.0,965.9131428571428,9714901.0,29188.0,,,13930609.219999999,26800146.03,4606.6900000000005,47372.509999999995,963547.1599999999,41746281.61,8369801.66,1281555.8399999999,9651357.5,5082879.119999999,36251729.0,22668976.0,2714145.0,1518549.0,0.0,0.0,36251729.0,201531.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1684.4785854559084,16942043.71825644,,24293916.16313807,46737403.262875944,8033.7147415557565,82614.031317822,1680352.4924568795,72802319.66453026,14596293.429738019,2234935.288446774,16831228.71818479,8864152.117005907,63220240.4924543,39532958.95039033,4733261.1261491105,2648233.21887836,0.0,0.0,63220240.4924543,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
05,Litoral Norte,2015,2,920.0,601.0,319.0,1521.0,966.7541091387245,23790375.0,62651.0,,,28164057.11,61153563.38,3119.45,58163.77,537416.6599999999,89916320.37,7948597.05,1323761.71,9272358.760000002,7674180.5,35982374.0,28912935.0,6623466.0,221280.0,0.0,0.0,35982374.0,393246.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1685.9451662793401,41488592.96906011,,49115959.78601234,106647133.54373102,5440.082022134353,101433.16274232874,937213.5185566333,156807180.09306446,13861744.830946209,2308539.0950843347,16170283.926030546,13383183.372922797,62750505.990195245,50421945.50341859,11550817.711717814,385895.3821532288,0.0,0.0,62750505.990195245,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
06,Litoral Oeste / Vale do Curu,2015,2,950.0,922.0,28.0,1872.0,904.5544871794872,22391895.0,60501.0,,,25741343.14,58670233.03,7305.32,56639.8,1125337.82,85600859.11,7813000.71,1128921.48,8941922.19,15309240.19,64623604.0,51564778.0,8324786.0,1142347.0,0.0,0.0,64623604.0,388064.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1577.4737866438272,39049750.89551687,,44890932.06863564,102316395.49950668,12739.918895298379,98775.47571440008,1962503.0192533506,149281345.98200536,13625275.193189163,1968752.647982595,15594027.841171756,26698143.047702543,112698618.7712352,89925025.81325202,14517789.564415442,1992165.7272080372,0.0,0.0,112698618.7712352,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
07,Maciço do Baturité,2015,2,476.0,390.0,86.0,866.0,987.4642032332564,13413231.0,38679.0,,,21501592.69,35746859.12,5844.0199999999995,35966.17,269231.33999999997,57559493.34,4497604.01,702247.0599999999,5199851.07,3102853.37,22405737.0,16507451.0,1312743.0,2956980.0,204238.0,0.0,22405737.0,240159.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1722.0619851289366,23391648.15010184,,37497131.81494316,62339786.06692892,10191.52355030329,62722.247454528166,469518.84868458903,100379350.50156151,7843477.124967662,1224665.1192366295,9068142.244204292,5411138.769801084,39073890.28398291,28787730.98346303,2289323.3082699566,5156746.778377867,356175.4386307445,0.0,39073890.28398291,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
08,Serra da Ibiapaba,2015,2,629.0,703.0,-74.0,1332.0,928.3626126126128,21129955.0,55645.0,,,23924307.05,54836560.31,7567.48,40784.96,327978.23,79137198.03,3622246.3,1303577.35,4925823.65,3315631.84,46875509.0,36031062.0,6591777.0,3036689.0,0.0,0.0,46875509.0,352735.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1618.9933350095541,36849024.13053836,,41722160.212450005,95630763.72377092,13197.105868297704,71125.84836091897,571968.9280720786,138009215.8185222,6316920.282861618,2273339.1162533592,8590259.39911498,5782208.1343827415,81747299.6166943,62835414.13537907,11495554.521347903,5295753.173063568,0.0,0.0,81747299.6166943,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
09,Sertão Central,2015,2,754.0,705.0,49.0,1459.0,1018.8862234407128,20971027.0,60485.0,,,26649861.200000003,53160095.47,5501.65,55927.86,321099.92,80192486.1,8604587.379999999,1628198.62,10232786.0,6189021.12,46719043.0,33155483.0,4740088.0,1266576.0,425710.0,0.0,46719043.0,389124.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1776.8595831765815,36571865.86365998,,46475318.02288732,92707137.36757854,9594.456476967242,97533.9068497482,559973.6819313593,139849557.4357239,15005741.75377779,2839453.7630434735,17845195.516821265,10793179.095520627,81474434.88936248,57820624.470173,8266350.64262443,2208811.5941165397,742405.65408736,0.0,81474434.88936248,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
10,Sertão de Canindé,2015,2,379.0,307.0,72.0,686.0,881.0247813411079,13587015.0,34297.0,,,13930609.17,30263387.58,514.64,18974.84,182131.47999999998,44395617.70999999,2276251.36,591105.94,2867357.3,708753.3400000001,42926445.0,34329975.0,3698906.0,188027.0,0.0,0.0,42926445.0,203895.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1536.439780739749,23694714.143829774,,24293916.075941898,52777031.43273399,897.4927669528998,33090.66853351578,317623.359891238,77422559.02986759,3969608.1364967767,1030843.5132381757,5000451.6497349525,1236011.5735343336,74860434.281248,59868848.61684649,6450608.931755563,327904.695499481,0.0,0.0,74860434.281248,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
11,Sertão de Sobral,2015,2,2383.0,2757.0,-374.0,5140.0,957.6509727626459,19519555.0,58705.0,,,35917187.55,68404512.98,2644.15,151375.81,559651.76,105035372.25,18384454.09,2816975.29,21201429.38,7181178.119999999,74952992.0,57437567.0,10921829.0,232629.0,0.0,0.0,74952992.0,485904.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1670.0699932377645,34040609.798382,,62636825.811082974,119292234.6232041,4611.195203906634,263987.82559971325,975989.8309740017,183173649.28606468,32061080.69748301,4912589.280778889,36973669.978261895,12523424.959001288,130712280.78166984,100166720.29743621,19046833.76612083,405687.16944560496,0.0,0.0,130712280.78166984,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
12,Sertão dos Crateús,2015,2,481.0,283.0,198.0,764.0,1015.4528795811518,19407446.0,55165.0,,,26649861.18,50960443.19,4225.610000000001,53537.97,365654.94999999995,78033722.9,3528635.42,900571.21,4429206.630000001,2330053.3600000003,61064063.0,47288289.0,5739421.0,441318.0,0.0,0.0,61064063.0,349155.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1770.8720942903344,33845100.28374978,,46475317.98800884,88871112.16333584,7369.140391271265,93366.12162354527,637674.2437927953,136084839.65715232,6153670.073573386,1570527.2561421983,7724197.329715586,4063434.706230183,106491051.73180513,82467156.34050672,10009110.900819173,769624.8113751746,0.0,0.0,106491051.73180513,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
13,Sertão dos Inhamuns,2015,2,99.0,178.0,-79.0,277.0,1020.8808664259927,6299561.0,20028.0,,,9993697.97,21616590.33,61642.04,18700.63,123838.34,31814469.309999995,708935.8700000001,31704.42,740640.29,1049254.93,16792487.0,14076170.0,1365120.0,1704.0,43159.0,0.0,16792487.0,134452.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1780.3380878632402,10985952.184980912,,17428244.293461215,37697678.89662482,107498.99937863619,32612.46728288203,215964.5857715179,55481999.24251906,1236329.8918826003,55290.081669588166,1291619.9735521884,1829820.2828475656,29284811.94942212,24547763.021528445,2380664.787079789,2971.645567557402,75265.99240035792,0.0,29284811.94942212,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
14,Vale do Jaguaribe,2015,2,2291.0,2281.0,10.0,4572.0,930.810586176728,17156379.0,54954.0,,,28466897.299999997,50967072.24,5515.79,75214.49,368261.57999999996,79882961.4,9521811.17,2000362.3399999999,11522173.51,10456613.280000001,52232625.0,35880995.0,8497093.0,3674284.0,457826.0,0.0,52232625.0,388005.0,,,,,,,4060874.7800000003,2887180.868866,3005223.3215129995,9953278.970378999,97.795,2732.9696287079178,0.0203,,,,1.7439234551393203,1623.2624135255755,29919411.743359677,,49644089.89651218,88882672.71911614,9619.115554622911,131168.31327734186,642220.0069886652,139309770.05144897,16605309.834770573,3488478.8035033755,20093788.63827395,18235533.160313305,91089699.86099644,62573708.77423668,14818279.783200134,6407670.048443123,798413.4997726145,0.0,91089699.86099644,,,,,,,,,7081854.777225728,5035022.436444939,5240879.438318214,17357756.65198888
01,Cariri,2015,3,5514.0,5501.0,13.0,11015.0,1012.2057194734454,47933375.0,139106.0,,,76492868.75999999,100453031.02,5653.95,87742.98,1028823.13,178068119.84,7479555.42,741816.3500000001,8221371.77,30664216.91,194443199.0,144547497.0,22300604.0,4304210.0,0.0,0.0,194443199.0,1004530.0,,,,,,,4356983.5,23199103.903233998,10132681.638422,37688769.041655995,96.75999999999999,2536.585768709413,0.0203,,,,1.7175446148735691,1738.5084826258426,82327710.10396537,,131379914.81496865,172532562.47612858,9710.911375264415,150702.48279195928,1767049.6265888698,305839940.31185335,12846470.133269416,1274102.6771676668,14120572.810437083,52667160.623085536,333964869.34123975,248266775.06580338,38302282.30862798,7392672.706784965,0.0,0.0,333964869.34123975,,,,,,,,,7483313.547517995,39845495.978891954,17403332.7823,64732142.30870994
