uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
PI,2017,671052851.39,1010478606.7414277,2017,2
RN,2017,380734547.6,573314179.9491189,2017,2
SE,2017,311832488.63,469560717.90003586,2017,2
AL,2017,659204688.67,992637515.785697,2017,3
BA,2017,2483192163.48,3739217488.4988413,2017,3
CE,2017,2126730371.76,3202453485.622351,2017,3
MA,2017,1239249378.17,1866075052.754128,2017,3
PB,2017,563581792.29,848647529.1453061,2017,3
PE,2017,1143845958.48,1722415556.4759552,2017,3
PI,2017,671052851.39,1010478606.7414277,2017,3
RN,2017,380734547.6,573314179.9491189,2017,3
SE,2017,311832488.63,469560717.90003586,2017,3
AL,2017,659204688.67,992637515.785697,2017,4
BA,2017,2483192163.48,3739217488.4988413,2017,4
CE,2017,2126730371.76,3202453485.622351,2017,4
MA,2017,1239249378.17,1866075052.754128,2017,4
PB,2017,563581792.29,848647529.1453061,2017,4
PE,2017,1143845958.48,1722415556.4759552,2017,4
PI,2017,671052851.39,1010478606.7414277,2017,4
RN,2017,380734547.6,573314179.9491189,2017,4
SE,2017,311832488.63,469560717.90003586,2017,4
AL,2017,659204688.67,992637515.785697,2017,5
BA,2017,2483192163.48,3739217488.4988413,2017,5
CE,2017,2126730371.76,3202453485.622351,2017,5
MA,2017,1239249378.17,1866075052.754128,2017,5
PB,2017,563581792.29,848647529.1453061,2017,5
PE,2017,1143845958.48,1722415556.4759552,2017,5
PI,2017,671052851.39,1010478606.7414277,2017,5
RN,2017,380734547.6,573314179.9491189,2017,5
SE,2017,311832488.63,469560717.90003586,2017,5
AL,2017,659204688.67,992637515.785697,2017,6
BA,2017,2483192163.48,3739217488.4988413,2017,6
CE,2017,2126730371.76,3202453485.622351,2017,6
MA,2017,1239249378.17,1866075052.754128,2017,6
PB,2017,563581792.29,848647529.1453061,2017,6
PE,2017,1143845958.48,1722415556.4759552,2017,6
PI,2017,671052851.39,1010478606.7414277,2017,6
RN,2017,380734547.6,573314179.9491189,2017,6
SE,2017,311832488.63,469560717.90003586,2017,6
AL,2018,967045378.24,1403615183.9210064,2018,1
BA,2018,2449844273.78,3555819301.0319552,2018,1
CE,2018,2733293560.16,3967230938.1555676,2018,1
MA,2018,1308323070.65,1898961691.7260578,2018,1
PB,2018,645555466.74,936989592.8033677,2018,1
PE,2018,869249725.48,1261669969.948498,2018,1
PI,2018,782792363.21,1136181684.5230606,2018,1
RN,2018,686981844.52,997117787.5864102,2018,1
SE,2018,385599929.09,559677888.5129677,2018,1
AL,2018,967045378.24,1403615183.9210064,2018,2
BA,2018,2449844273.78,3555819301.0319552,2018,2
CE,2018,2733293560.16,3967230938.1555676,2018,2
MA,2018,1308323070.65,1898961691.7260578,2018,2
PB,2018,645555466.74,936989592.8033677,2018,2
PE,2018,869249725.48,1261669969.948498,2018,2
PI,2018,782792363.21,1136181684.5230606,2018,2
RN,2018,686981844.52,997117787.5864102,2018,2
SE,2018,385599929.09,559677888.5129677,2018,2
AL,2018,967045378.24,1403615183.9210064,2018,3
BA,2018,2449844273.78,3555819301.0319552,2018,3
CE,2018,2733293560.16,3967230938.1555676,2018,3
MA,2018,1308323070.65,1898961691.7260578,2018,3
PB,2018,645555466.74,936989592.8033677,2018,3
PE,2018,869249725.48,1261669969.948498,2018,3
PI,2018,782792363.21,1136181684.5230606,2018,3
RN,2018,686981844.52,997117787.5864102,2018,3
SE,2018,385599929.09,559677888.5129677,2018,3
AL,2018,967045378.24,1403615183.9210064,2018,4
BA,2018,2449844273.78,3555819301.0319552,2018,4
CE,2018,2733293560.16,3967230938.1555676,2018,4
MA,2018,1308323070.65,1898961691.7260578,2018,4
PB,2018,645555466.74,936989592.8033677,2018,4
PE,2018,869249725.48,1261669969.948498,2018,4
PI,2018,782792363.21,1136181684.5230606,2018,4
RN,2018,686981844.52,997117787.5864102,2018,4
SE,2018,385599929.09,559677888.5129677,2018,4
