ano_bim,bimestre,uf,resultado_primario_nominal,resultado_primario_real
2025,2,MA,1731355937.66,1761517603.5079625
2025,2,PB,729805014.08,742518826.6993732
2025,2,PE,2620539475.22,2666191460.6227274
2025,2,PI,-194668373.8,-198059659.38952324
2025,2,RN,573300737.63,583288115.0967945
2025,2,SE,637331377.31,648434221.9756823
2025,3,AL,524123230.86,530597596.1932966
2025,3,BA,1746292566.15,1767864088.6210105
2025,3,CE,941324284.53,952952231.8452739
2025,3,MA,1987307926.49,2011856652.4160392
2025,3,PB,412408616.67,417502998.85668516
2025,3,PE,2643462714.2,2676116758.8005342
2025,3,PI,-228993172.82,-231821869.15012586
2025,3,RN,741303494.81,750460634.516199
2025,3,SE,1268195368.98,1283861074.389201
2025,4,AL,360317452.64,364223072.5613127
2025,4,BA,815051214.77,823885869.42792
2025,4,CE,625383885.05,632162662.325492
2025,4,MA,3174061005.26,3208465877.415863
2025,4,PB,174754675.23,176648908.59538388
2025,4,PE,2175524499.76,2199105849.381873
2025,4,PI,-438885580.7,-443642830.8820261
2025,4,RN,767761011.63,776083069.5260556
2025,4,SE,1010962129.61,1021920338.2789608
2025,5,AL,753014632.75,756859480.2839435
2025,5,BA,915655815.32,920331098.973675
2025,5,CE,4247797.34,4269486.338350199
2025,5,MA,1981179978.17,1991295764.2677374
2025,5,PB,-532979526.08,-535700887.5613929
2025,5,PE,738246717.17,742016160.6130669
2025,5,PI,-355656084.24,-357472042.86676437
2025,5,RN,953021173.36,957887242.2899058
2025,5,SE,861377868.2,865776011.9123571
2025,6,AL,892056423.75,892056423.75
2025,6,BA,-884897710.69,-884897710.69
2025,6,CE,-832399697.32,-832399697.32
2025,6,MA,776894485.54,776894485.54
2025,6,PB,-1443443614.22,-1443443614.22
2025,6,PE,-902592467.76,-902592467.76
2025,6,PI,-1253028103.22,-1253028103.22
2025,6,RN,708797318.09,708797318.09
2025,6,SE,298032658.98,298032658.98
