ano_bim,bimestre,uf,dcl_nominal,dcl_real
2017,2,MA,4264734373.12,6538943475.715666
2017,2,PB,2231928654.11,3422125280.07422
2017,2,PE,10609367085.08,16266910342.57865
2017,2,PI,2304397435.66,3533238710.56034
2017,2,RN,530556999.67,813481433.53401
2017,2,SE,3900751952.28,5980864057.914622
2017,3,AL,7460792876.25,11430267060.310308
2017,3,BA,14640734480.83,22430257460.664684
2017,3,CE,6907427089.11,10582486022.294384
2017,3,MA,4571244203.6,7003349766.131837
2017,3,PB,2384262254.85,3652795991.898802
2017,3,PE,10583645336.7,16214616150.943682
2017,3,PI,2364034275.93,3621805827.0489044
2017,3,RN,583689782.78,894238750.2524139
2017,3,SE,4065658125.65,6228769371.152684
2017,4,AL,7460792876.25,11381275676.285196
2017,4,BA,14640734480.83,22334118905.787586
2017,4,CE,6907427089.11,10537128321.208044
2017,4,MA,4571244203.6,6973332637.394215
2017,4,PB,2384262254.85,3637139705.806774
2017,4,PE,10583645336.7,16145118519.569084
2017,4,PI,2364034275.93,3606282368.217968
2017,4,RN,583689782.78,890405944.4402143
2017,4,SE,4065658125.65,6202072179.3324175
2017,5,AL,7000340864.15,10617215049.456112
2017,5,BA,17229303588.79,26131187738.493206
2017,5,CE,8146084434.45,12354931271.205236
2017,5,MA,5487449666.98,8322656613.160114
2017,5,PB,2641293135.2,4005973104.636189
2017,5,PE,13176450959.83,19984343069.002
2017,5,PI,3288148476.62,4987039941.097931
2017,5,RN,1204549996.95,1826906232.6571045
2017,5,SE,3992519479.47,6055339122.09325
2017,6,AL,7000340864.15,10541188623.92004
2017,6,BA,17229303588.79,25944070797.796837
2017,6,CE,8146084434.45,12266461624.700178
2017,6,MA,5487449666.98,8263060774.673718
2017,6,PB,2641293135.2,3977287633.491406
2017,6,PE,13176450959.83,19841241684.774067
2017,6,PI,3288148476.62,4951329369.261418
2017,6,RN,1204549996.95,1813824351.0138004
2017,6,SE,3992519479.47,6011978807.103203
2018,1,AL,5919393407.16,8859361985.03043
2018,1,BA,16991423879.68,25430506884.2177
2018,1,CE,8995472796.06,13463229125.875065
2018,1,MA,5844840841.82,8747781605.449512
2018,1,PB,2165135712.51,3240487614.937196
2018,1,PE,11659037114.11,17449698488.677097
2018,1,PI,2453897661.68,3672668154.2650213
2018,1,RN,-680730568.3,-1018827116.9053198
2018,1,SE,3944594536.86,5903745279.70136
2018,2,AL,5919393407.16,8831965404.983482
2018,2,BA,16991423879.68,25351865903.22323
2018,2,CE,8995472796.06,13421595604.741076
2018,2,MA,5844840841.82,8720730075.170937
2018,2,PB,2165135712.51,3230466771.620964
2018,2,PE,11659037114.11,17395737259.61253
2018,2,PI,2453897661.68,3661310841.261646
2018,2,RN,-680730568.3,-1015676508.6888973
2018,2,SE,3944594536.86,5885488611.737524
2018,3,AL,6825579614.11,10017239459.609453
2018,3,BA,20004291324.1,29358353098.54876
2018,3,CE,10288136941.62,15098898139.641672
2018,3,MA,6164499426.56,9047036353.780565
2018,3,PB,2232955251.56,3277091283.3877473
2018,3,PE,13157528500.99,19310025103.00936
2018,3,PI,2555280839.7,3750137205.1850924
2018,3,RN,-666856878.38,-978680993.2171811
2018,3,SE,4255691302.82,6245664288.846466
2018,4,AL,6825579614.11,9993285255.054531
2018,4,BA,20004291324.1,29288148527.88297
2018,4,CE,10288136941.62,15062792174.914637
2018,4,MA,6164499426.56,9025402193.959578
2018,4,PB,2232955251.56,3269254781.5986123
2018,4,PE,13157528500.99,19263849078.851883
2018,4,PI,2555280839.7,3741169509.6354113
2018,4,RN,-666856878.38,-976340675.3281991
2018,4,SE,4255691302.82,6230729044.405156
2018,5,AL,6816346130.58,9887598337.193848
2018,5,BA,20493581886.07,29727408540.88784
2018,5,CE,10962426243.3,15901784536.525618
2018,5,MA,7144367665.42,10363417070.620136
2018,5,PB,3115454034.35,4519189245.899077
2018,5,PE,14133950279.71,20502307336.87078
2018,5,PI,4356652695.42,6319636814.467416
2018,5,RN,4125439551.09,5984245586.143724
2018,5,SE,3400013691.54,4931963412.492769
2018,6,AL,6816346130.58,9893565641.310404
2018,6,BA,20493581886.07,29745349448.40765
2018,6,CE,10962426243.3,15911381486.26906
2018,6,MA,7144367665.42,10369671538.008286
2018,6,PB,3115454034.35,4521916639.920445
2018,6,PE,14133950279.71,20514680766.57514
2018,6,PI,4356652695.42,6323450803.819739
2018,6,RN,4125439551.09,5987857162.191099
2018,6,SE,3400013691.54,4934939921.506426
2019,1,AL,6260746466.73,9019372733.262936
2019,1,BA,18977832876.42,27339894578.32253
2019,1,CE,9538111750.98,13740819167.61218
2019,1,MA,5393054805.31,7769356532.562398
2019,1,PB,2330534820.14,3357421087.468077
2019,1,PE,12447020504.47,17931458803.668385
2019,1,PI,2561991389.73,3690862648.1171503
2019,1,RN,3405235662.71,4905659388.986985
2019,1,SE,3383502728.01,4874350432.508935
2019,2,AL,6260746466.73,8901492493.544056
2019,2,BA,18977832876.42,26982571134.43203
2019,2,CE,9538111750.98,13561231173.489452
2019,2,MA,5393054805.31,7667813594.089272
2019,2,PB,2330534820.14,3313540696.4106846
2019,2,PE,12447020504.47,17697100525.68191
2019,2,PI,2561991389.73,3642624285.36217
2019,2,RN,3405235662.71,4841544031.76039
2019,2,SE,3383502728.01,4810644273.061845
2019,3,AL,6079159179.9,8631227916.290293
2019,3,BA,20621773556.02,29278922024.059364
2019,3,CE,9782658439.52,13889479140.124573
2019,3,MA,3802838692.08,5399293966.303032
2019,3,PB,2352109314.7,3339539396.5550056
2019,3,PE,12642835221.74,17950375878.911514
2019,3,PI,2984879777.83,4237950825.5614486
2019,3,RN,3736269205.27,5304778195.959765
2019,3,SE,3194637346.35,4535765922.598072
2019,4,AL,6079159179.9,8605393749.768051
2019,4,BA,20621773556.02,29191287152.810783
2019,4,CE,9782658439.52,13847906478.56434
2019,4,MA,3802838692.08,5383133315.60758
2019,4,PB,2352109314.7,3329543806.389282
2019,4,PE,12642835221.74,17896648529.328102
2019,4,PI,2984879777.83,4225266196.166599
2019,4,RN,3736269205.27,5288900440.835339
2019,4,SE,3194637346.35,4522189901.516627
2019,5,AL,6404121918.62,9059964536.574038
2019,5,BA,21526711938.65,30454018401.205032
2019,5,CE,10995170453.7,15554959079.475882
2019,5,MA,6549951976.7,9266271532.499567
2019,5,PB,2382452799.0,3370475787.8271017
2019,5,PE,13257592921.29,18755626959.254574
2019,5,PI,5181842289.41,7330795380.343214
2019,5,RN,3253299160.95,4602469378.257009
2019,5,SE,3695263444.12,5227719925.144693
2019,6,AL,6404121918.62,8911510797.231733
2019,6,BA,21526711938.65,29955008400.513813
2019,6,CE,10995170453.7,15300080395.200377
2019,6,MA,6549951976.7,9114437311.382307
2019,6,PB,2382452799.0,3315248227.934815
2019,6,PE,13257592921.29,18448303134.247246
2019,6,PI,5181842289.41,7210675264.842545
2019,6,RN,3253299160.95,4527054757.520637
2019,6,SE,3695263444.12,5142060144.91166
2020,1,AL,6823857146.57,9452054771.103111
2020,1,BA,24459757140.39,33880393333.711044
2020,1,CE,12427826844.33,17214384400.97446
2020,1,MA,3219628628.78,4459663426.151413
2020,1,PB,2015734088.84,2792090836.9648647
2020,1,PE,13928815786.58,19293476824.545845
2020,1,PI,5381235671.25,7453809950.642854
2020,1,RN,3256149861.29,4510250752.729054
2020,1,SE,3838105892.84,5316346215.520112
2020,2,AL,6823857146.57,9474814887.18065
2020,2,BA,24459757140.39,33961975773.053802
2020,2,CE,12427826844.33,17255835852.183502
2020,2,MA,3219628628.78,4470402091.944619
2020,2,PB,2015734088.84,2798814064.145333
2020,2,PE,13928815786.58,19339934635.328793
2020,2,PI,5381235671.25,7471758384.481303
2020,2,RN,3256149861.29,4521111230.493609
2020,2,SE,3838105892.84,5329147734.333096
2020,3,AL,6204201760.54,8624868497.457117
2020,3,BA,23352873783.42,32464364183.11783
2020,3,CE,12043027384.19,16741803620.982365
2020,3,MA,2775465067.4,3858356344.544063
2020,3,PB,1392767239.47,1936177247.5544994
2020,3,PE,13222475854.82,18381432432.44533
2020,3,PI,3567629089.37,4959595598.457899
2020,3,RN,3026630324.48,4207517670.5381527
2020,3,SE,3418540306.16,4752337485.4464
2020,4,AL,6204201760.54,8573354297.88865
2020,4,BA,23352873783.42,32270462590.77638
2020,4,CE,12043027384.19,16641808981.861588
2020,4,MA,2775465067.4,3835311339.4175844
2020,4,PB,1392767239.47,1924612941.2511795
2020,4,PE,13222475854.82,18271644697.251637
2020,4,PI,3567629089.37,4929973164.502741
2020,4,RN,3026630324.48,4182387211.443981
2020,4,SE,3418540306.16,4723952952.77623
2020,5,AL,5813489668.41,7914293864.606046
2020,5,BA,21511870767.47,29285554209.60265
2020,5,CE,11973622896.16,16300496883.84556
2020,5,MA,6816589736.78,9279881346.394396
2020,5,PB,1233663646.5,1679469163.1666439
