uf,ano,rais_vinculos_ativos,remuneracao_media,rais_remuneracao_media_real,ano_bim,bimestre
BA,2021,3210981,,,2021,3
CE,2021,2108886,,,2021,3
MA,2021,1061682,,,2021,3
PB,2021,888685,,,2021,3
PE,2021,2259946,,,2021,3
PI,2021,603444,,,2021,3
RN,2021,839089,,,2021,3
SE,2021,525790,,,2021,3
AL,2021,691553,,,2021,4
BA,2021,3210981,,,2021,4
CE,2021,2108886,,,2021,4
MA,2021,1061682,,,2021,4
PB,2021,888685,,,2021,4
PE,2021,2259946,,,2021,4
PI,2021,603444,,,2021,4
RN,2021,839089,,,2021,4
SE,2021,525790,,,2021,4
AL,2021,691553,,,2021,5
BA,2021,3210981,,,2021,5
CE,2021,2108886,,,2021,5
MA,2021,1061682,,,2021,5
PB,2021,888685,,,2021,5
PE,2021,2259946,,,2021,5
PI,2021,603444,,,2021,5
RN,2021,839089,,,2021,5
SE,2021,525790,,,2021,5
AL,2021,691553,,,2021,6
BA,2021,3210981,,,2021,6
CE,2021,2108886,,,2021,6
MA,2021,1061682,,,2021,6
PB,2021,888685,,,2021,6
PE,2021,2259946,,,2021,6
PI,2021,603444,,,2021,6
RN,2021,839089,,,2021,6
SE,2021,525790,,,2021,6
AL,2022,797410,,,2022,1
BA,2022,3576793,,,2022,1
CE,2022,2344273,,,2022,1
MA,2022,1239429,,,2022,1
PB,2022,984804,,,2022,1
PE,2022,2492153,,,2022,1
PI,2022,659395,,,2022,1
RN,2022,911347,,,2022,1
SE,2022,579357,,,2022,1
AL,2022,797410,,,2022,2
BA,2022,3576793,,,2022,2
CE,2022,2344273,,,2022,2
MA,2022,1239429,,,2022,2
PB,2022,984804,,,2022,2
PE,2022,2492153,,,2022,2
PI,2022,659395,,,2022,2
RN,2022,911347,,,2022,2
SE,2022,579357,,,2022,2
AL,2022,797410,,,2022,3
BA,2022,3576793,,,2022,3
CE,2022,2344273,,,2022,3
MA,2022,1239429,,,2022,3
PB,2022,984804,,,2022,3
PE,2022,2492153,,,2022,3
PI,2022,659395,,,2022,3
RN,2022,911347,,,2022,3
SE,2022,579357,,,2022,3
AL,2022,797410,,,2022,4
BA,2022,3576793,,,2022,4
CE,2022,2344273,,,2022,4
MA,2022,1239429,,,2022,4
PB,2022,984804,,,2022,4
PE,2022,2492153,,,2022,4
PI,2022,659395,,,2022,4
RN,2022,911347,,,2022,4
