ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2016,4,PB,9260,10314,-1054,19574,1100.0505772964136
2016,4,PE,31775,37030,-5255,68805,1235.1088002325412
2016,4,PI,7802,8150,-348,15952,1107.751003009027
2016,4,RN,10770,13422,-2652,24192,1070.3754546957673
2016,4,SE,6624,7886,-1262,14510,1152.5899379738112
2016,6,AL,6672,7576,-904,14248,1174.7949887703537
2016,6,BA,43332,51308,-7976,94640,1251.1139898562976
2016,6,CE,33915,35841,-1926,69756,1233.2368828487872
2016,6,MA,12556,12539,17,25095,1309.4053397091054
2016,6,PB,9124,9971,-847,19095,1107.935428122545
2016,6,PE,28933,31810,-2877,60743,1254.5331478524274
2016,6,PI,9024,8923,101,17947,1143.2851172897977
2016,6,RN,11297,12460,-1163,23757,1106.7646167445384
2016,6,SE,7000,7647,-647,14647,1181.9040759199836
2016,7,AL,6298,7846,-1548,14144,1229.5579044117646
2016,7,BA,45979,53264,-7285,99243,1282.4516389065225
2016,7,CE,31483,36160,-4677,67643,1210.5347042561684
2016,7,MA,12597,12383,214,24980,1274.5507205764611
2016,7,PB,10027,10124,-97,20151,1123.3208773758126
2016,7,PE,30876,34919,-4043,65795,1258.7707728550802
2016,7,PI,7417,8046,-629,15463,1156.834443510315
2016,7,RN,11725,11723,2,23448,1108.2611736608667
2016,7,SE,5874,7369,-1495,13243,1135.8769161066223
2016,8,AL,11858,7759,4099,19617,1086.2729775194985
2016,8,BA,49733,53249,-3516,102982,1300.8283486434523
2016,8,CE,35490,35084,406,70574,1188.9213733102843
2016,8,MA,15097,12851,2246,27948,1280.2680334907686
2016,8,PB,15792,9887,5905,25679,1090.4839752326805
2016,8,PE,41281,32246,9035,73527,1208.0228215485467
2016,8,PI,8167,8175,-8,16342,1132.257312446457
2016,8,RN,14356,12119,2237,26475,1084.6546553352218
2016,8,SE,7803,8804,-1001,16607,1137.1852230986933
2016,9,AL,19978,6583,13395,26561,1036.2460750724747
2016,9,BA,43850,44181,-331,88031,1322.9197328213925
2016,9,CE,31634,30641,993,62275,1185.1626816539542
2016,9,MA,10684,12282,-1598,22966,1243.1138639728294
2016,9,PB,9005,8439,566,17444,1123.3801307039669
2016,9,PE,44323,28602,15721,72925,1185.8276174151526
2016,9,PI,6772,7634,-862,14406,1133.4192697487158
2016,9,RN,12316,10284,2032,22600,1102.2671238938053
2016,9,SE,6192,6588,-396,12780,1152.5196400625978
2016,10,AL,12479,6647,5832,19126,1049.693087943114
2016,10,BA,43240,48841,-5601,92081,1286.3509953193384
2016,10,CE,29964,32100,-2136,62064,1180.4274458623356
2016,10,MA,10888,11298,-410,22186,1246.0414675921752
2016,10,PB,8832,9682,-850,18514,1130.3927298260776
2016,10,PE,29202,32751,-3549,61953,1222.3783351895793
2016,10,PI,6994,8791,-1797,15785,1090.1146024707
2016,10,RN,10795,11531,-736,22326,1117.2986652333602
2016,10,SE,9157,7225,1932,16382,1126.9899279697229
2016,11,AL,8560,8276,284,16836,1117.4038370159183
