ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes
2020,RN,C,176,1099.1469319637843,29134
2020,RN,D,289,2217.9232140083427,557
2020,RN,E,-74,1448.7716986397054,1180
2020,RN,F,1637,1415.9615017822468,38681
2020,RN,G,2803,1075.1369320448437,61925
2020,RN,H,-1413,1438.554732487657,7243
2020,RN,I,-2026,1112.7811647643966,17610
2020,RN,J,456,1369.9267055774644,3322
2020,RN,K,-67,2077.4303571795003,1475
2020,RN,L,127,1274.6684300034747,1197
2020,RN,M,111,1446.8489682288553,8155
2020,RN,N,1998,1149.9013289525053,39066
2020,RN,O,-11,2019.2292451923076,111
2020,RN,P,-581,1142.3334820687198,7457
2020,RN,Q,743,1287.2553548162189,10327
2020,RN,R,-155,1493.9445640674458,1345
2020,RN,S,136,1228.5830724038374,3082
2020,RN,T,-14,1148.2092525252526,76
2020,SE,A,-342,1066.0740282356844,5668
2020,SE,B,-754,2877.801982878733,1500
2020,SE,C,616,1115.5049032076215,25076
2020,SE,D,27,3033.6270252573727,329
2020,SE,E,102,1325.0419661885473,964
2020,SE,F,-1146,1321.540763814705,21582
2020,SE,G,-65,1103.8577124416756,33879
2020,SE,H,-751,1584.6646953497736,5565
2020,SE,I,-1421,1086.2367728032477,6909
2020,SE,J,354,1530.0268482918552,2172
2020,SE,K,-167,1999.605955500427,1135
2020,SE,L,6,1437.7170559399547,664
2020,SE,M,22,1471.4217902808678,3666
2020,SE,N,679,1142.7967792346797,18625
2020,SE,O,-143,4037.4249999999997,405
2020,SE,P,-779,966.4954846112347,4805
2020,SE,Q,134,1730.8120126024578,6920
2020,SE,R,-214,1365.9515412600792,828
2020,SE,S,-96,1272.2863446532695,2336
2020,SE,T,2,1422.5,4
2021,AL,A,1825,1069.106613606548,10825
2021,AL,B,59,2549.308048326408,431
2021,AL,C,1987,1009.7521026400234,58979
2021,AL,D,105,2324.3712994046555,1215
2021,AL,E,720,1726.2860259623208,2472
2021,AL,F,2545,1439.035466464563,29737
2021,AL,G,6487,17788.052980470125,54891
2021,AL,H,808,1385.083311062418,8480
2021,AL,I,3208,1171.2218982176842,16818
2021,AL,J,689,1513.2894471393506,3165
2021,AL,K,135,2481.3538489176967,985
2021,AL,L,516,1287.7789424078348,1678
2021,AL,M,824,1619.2634558095583,5730
2021,AL,N,4316,1170.7847277182832,24516
2021,AL,O,6,3417.0673015873012,48
2021,AL,P,487,1106.254474824425,6533
2021,AL,Q,1046,1382.014050134293,8220
2021,AL,R,79,2206.7258439032817,929
2021,AL,S,859,1271.0847887451032,4793
2021,AL,T,4,1106.25,4
2021,BA,A,8677,1241.3808531675552,97521
2021,BA,B,1945,2531.3037422092098,7487
2021,BA,C,16466,1420.7438747112578,134880
2021,BA,D,727,2391.141844789184,1523
2021,BA,E,1805,1512.8551055169128,9995
2021,BA,F,13577,1786.103333644097,167877
2021,BA,G,29871,1234.5610157305784,279159
2021,BA,H,5842,1604.2878620906986,60110
2021,BA,I,9866,1206.5035166971104,66306
2021,BA,J,3312,2407.251511379047,19950
2021,BA,K,730,2555.2407133982647,6468
2021,BA,L,1007,1517.264188222718,4523
2021,BA,M,3757,1733.293102862549,39565
2021,BA,N,16438,1256.1821309943646,152978
2021,BA,O,571,2200.450029232416,7649
2021,BA,P,-2750,1213.4324174356834,34350
2021,BA,Q,8683,1789.9075681482157,85745
2021,BA,R,653,1749.8245333384132,5009
2021,BA,S,2648,1509.7986281919125,19192
2021,BA,T,15,1122.950625,33
2021,CE,A,379,1123.3226194654787,17607
2021,CE,B,275,1632.6947835213568,1903
2021,CE,C,13657,1186.9688133374484,132711
2021,CE,D,46,4771.378776452469,548
2021,CE,E,1314,1299.7742565919382,6846
2021,CE,F,9771,1506.6590845863393,98213
2021,CE,G,21737,1239.3047698497169,171321
2021,CE,H,2972,1431.9126919230248,29910
2021,CE,I,5992,1139.1892467423424,43326
2021,CE,J,3949,1913.3214045374139,25977
2021,CE,K,745,2803.9194860925113,7769
2021,CE,L,587,1442.0285706125837,4459
2021,CE,M,3901,1665.6341977154907,22107
2021,CE,N,14430,1501.5074474615685,120866
2021,CE,O,-270,1917.7070375836286,2266
2021,CE,P,1438,1236.9299494606423,26062
2021,CE,Q,7547,1820.9984310174652,39669
2021,CE,R,833,2407.5391599040813,5679
2021,CE,S,3393,1550.9936370999533,18919
2021,CE,T,4,1221.4869999999999,40
2021,MA,A,3220,1426.6936953638303,23794
2021,MA,B,148,2786.0611043737986,764
2021,MA,C,1303,1458.5990320909082,23227
2021,MA,D,64,6151.352326058439,582
2021,MA,E,369,1358.7828767420576,1639
2021,MA,F,5407,1557.7376985963106,59845
2021,MA,G,9019,1174.9009765473327,100949
2021,MA,H,1306,1676.4991039597915,17856
2021,MA,I,1913,1260.5335988086435,12257
2021,MA,J,473,1482.056304653525,6223
2021,MA,K,306,2454.1394764862,1680
2021,MA,L,280,1340.8162092042382,1204
2021,MA,M,1636,1765.739259144655,7080
2021,MA,N,3620,1348.6691801073705,34402
2021,MA,O,41,2591.1503313851176,603
2021,MA,P,604,1065.976328364423,9752
2021,MA,Q,3783,1588.0752816580316,21435
2021,MA,R,114,1042.1066456950894,1146
2021,MA,S,2066,1614.1425370071272,7276
2021,MA,T,-8,1045.4566269841268,28
2021,PB,A,1955,962.2559810739568,11573
2021,PB,B,115,1646.4293560835993,639
2021,PB,C,2531,1056.8423024202161,41559
2021,PB,D,56,2795.3968925183476,504
2021,PB,E,-211,1198.2852288522345,1619
2021,PB,F,4908,1412.4800342980366,43446
2021,PB,G,8669,1193.8068915674676,70667
2021,PB,H,16,1487.4661318412113,6650
2021,PB,I,1673,1102.3329306897592,14517
2021,PB,J,901,2184.3257760012316,6127
2021,PB,K,164,2551.5223043771784,1648
2021,PB,L,96,1437.2168961493205,1020
2021,PB,M,1522,1450.199914771707,6396
2021,PB,N,7205,1088.6947749409176,39255
2021,PB,O,-27,2566.098,39
2021,PB,P,483,948.9266285948851,10027
2021,PB,Q,1132,1318.117761532722,9740
2021,PB,R,177,1014.1842770310576,1647
2021,PB,S,647,1270.6534432324659,4227
2021,PB,T,9,1102.8125,13
2021,PE,A,7281,1063.1827479957503,63981
2021,PE,B,151,1659.8286054977261,691
2021,PE,C,11097,1187.045235758553,125427
2021,PE,D,1011,1888.7512145612889,2087
2021,PE,E,1005,1434.9537550338375,6913
2021,PE,F,4174,21945.614995813416,81828
2021,PE,G,18735,1268.3802239497886,185413
2021,PE,H,957,1757.4814224139438,36929
2021,PE,I,5120,1236.556007837537,43032
2021,PE,J,2164,2783.872241123681,14970
2021,PE,K,582,2908.999639406826,4894
2021,PE,L,620,1587.1459048967138,3144
2021,PE,M,3365,1834.0537441265658,29997
2021,PE,N,12275,1290.554509888187,120121
2021,PE,O,24,1925.5952227961432,1146
2021,PE,P,1378,1221.9182063254366,24854
2021,PE,Q,6463,1595.1874290319918,45553
2021,PE,R,483,2751.5162793342565,4401
2021,PE,S,2607,1600.0445549478106,17547
2021,PE,T,1,1551.0170833333334,15
2021,PE,U,1,,5
2021,PI,A,1487,1385.0690515729757,11325
2021,PI,B,227,1595.2604290402494,611
2021,PI,C,1665,1124.4281035548922,16513
2021,PI,D,72,3777.0371765103114,314
2021,PI,E,688,1419.3300456786762,1854
2021,PI,F,3825,1519.5600415200397,32067
2021,PI,G,9096,1181.9333954525441,51458
2021,PI,H,-10,1652.2574907961525,5188
2021,PI,I,1445,1137.8001636185165,9213
2021,PI,J,847,1335.8547627380854,3579
2021,PI,K,140,2309.9658675180603,1122
2021,PI,L,94,1395.7304836613139,604
2021,PI,M,155,1552.1297769556147,7139
2021,PI,N,3521,1264.8229098005181,27009
2021,PI,O,19,4977.21306547619,79
2021,PI,P,434,1471.3887620399864,5938
2021,PI,Q,1053,1622.300819161033,7143
2021,PI,R,273,1066.4859030041982,989
2021,PI,S,282,1249.411296532432,3006
2021,RN,A,571,1129.6194309178811,22693
2021,RN,B,1021,1814.6903372146496,4263
2021,RN,C,4508,1160.8515287719272,35042
2021,RN,D,7,3794.3213992455176,257
2021,RN,E,162,1281.9401976209376,3282
2021,RN,F,3442,1497.701710480387,43160
2021,RN,G,8398,1144.7629548303162,71454
2021,RN,H,352,1466.4922914005504,6570
2021,RN,I,3285,1116.2754855104115,19893
2021,RN,J,688,1606.2211950793046,4224
2021,RN,K,326,2211.1629068319594,1908
2021,RN,L,468,1396.4985543834387,1978
2021,RN,M,1065,1679.3046898455977,8525
2021,RN,N,5082,1215.7310764300878,45466
2021,RN,O,0,2884.5017785714285,68
2021,RN,P,1253,1032.0822320700627,9891
2021,RN,Q,2266,1335.8759097085542,12116
2021,RN,R,238,1333.537177321583,1764
2021,RN,S,710,1251.8489669034534,4580
2021,RN,T,-1,1164.1011648957103,57
2021,SE,A,1449,1117.990438111237,8907
2021,SE,B,155,2620.099410103038,1063
2021,SE,C,661,1192.6366378364676,26163
2021,SE,D,34,2355.0108021634765,382
2021,SE,E,36,1431.9135636059236,790
2021,SE,F,2065,1404.9526358056562,21171
2021,SE,G,4380,1182.9275344542089,38788
2021,SE,H,-554,1604.6754792630127,6332
2021,SE,I,817,1095.0245729333044,8247
2021,SE,J,666,1570.7195280431201,3238
2021,SE,K,-135,2432.186864195381,1621
2021,SE,L,-210,1397.7884237936823,1010
2021,SE,M,660,1578.206795905168,4810
2021,SE,N,506,1178.4894392176152,22342
2021,SE,O,-88,10949.276666666667,436
2021,SE,P,-59,950.6029923025675,6327
2021,SE,Q,320,1342.8897580672494,8908
2021,SE,R,267,3640.219788807401,1223
2021,SE,S,376,1336.8214121877,2980
2021,SE,T,0,762.5,6
2022,AL,A,-404,1133.0107845466766,14092
2022,AL,B,602,3461.512261829632,1102
2022,AL,C,5239,1191.7127189272949,65909
2022,AL,D,29,3703.050481903434,671
2022,AL,E,1125,1919.851067358398,3489
2022,AL,F,2442,1549.9486016680478,40626
2022,AL,G,4343,1299.2317941389438,77547
2022,AL,H,1468,1475.2764723249556,13276
2022,AL,I,2545,1369.30569796692,25129
2022,AL,J,174,1637.7765681391313,3910
2022,AL,K,224,2517.3592765240805,1444
2022,AL,L,492,1375.9599500957684,2882
2022,AL,M,441,1692.158402266131,8119
2022,AL,N,2856,1273.855632725221,34596
2022,AL,O,-1328,3862.6750255880306,1678
2022,AL,P,602,1204.4167396372502,10096
2022,AL,Q,-324,1498.5031675575722,9502
2022,AL,R,152,2039.4054228907173,1434
2022,AL,S,100,1388.4250099012613,6300
2022,AL,T,1,1318.3333333333333,11
2022,BA,A,5343,1413.0218055842024,129307
2022,BA,B,1557,2713.760365483836,8983
2022,BA,C,16840,1436.012510640727,167908
2022,BA,D,-89,3075.288001752302,1111
