ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2015,PB,2,6.0,1439,1734,-295,799.7079095175068,3173
2015,PB,2,7.0,18241,19719,-1478,891.2635305578152,37960
2015,PB,2,8.0,1521,1686,-165,1038.1427113419936,3207
2015,PB,2,9.0,3309,3223,86,1555.853392734682,6532
2015,PE,1,1.0,5744,6027,-283,839.7740838665168,11771
2015,PE,1,2.0,24522,26918,-2396,945.8233515367543,51440
2015,PE,1,3.0,8244,10239,-1995,1029.9723818132084,18483
2015,PE,1,4.0,18027,22227,-4200,1029.2842093811591,40254
2015,PE,1,5.0,18503,23170,-4667,1098.2456297681615,41673
2015,PE,1,6.0,15166,19474,-4308,1005.9609657902528,34640
2015,PE,1,7.0,101305,117959,-16654,1157.332739010335,219264
2015,PE,1,8.0,3935,5151,-1216,1640.6215046297507,9086
2015,PE,1,9.0,8951,10710,-1759,3314.539829366756,19661
2015,PE,2,1.0,361,425,-64,804.406112026904,786
2015,PE,2,2.0,2504,2662,-158,822.0903583623694,5166
2015,PE,2,3.0,1532,1593,-61,834.5538479766406,3125
2015,PE,2,4.0,3945,4004,-59,832.5674615397742,7949
2015,PE,2,5.0,4168,5129,-961,872.1257524897566,9297
2015,PE,2,6.0,5290,6658,-1368,788.0603125111144,11948
2015,PE,2,7.0,62659,72274,-9615,925.3257466428528,134933
2015,PE,2,8.0,4244,5817,-1573,1214.9785343145038,10061
2015,PE,2,9.0,11512,13155,-1643,2118.5415904873757,24667
2015,PI,1,1.0,694,862,-168,915.5073804203087,1556
2015,PI,1,2.0,4144,5120,-976,996.9779388286489,9264
2015,PI,1,3.0,2319,3317,-998,1006.6497479926126,5636
2015,PI,1,4.0,6833,8586,-1753,1040.3708862143449,15419
2015,PI,1,5.0,7459,8248,-789,1023.7581238365458,15707
2015,PI,1,6.0,4716,5665,-949,959.4949995884995,10381
2015,PI,1,7.0,21889,20911,978,1021.8402942012056,42800
2015,PI,1,8.0,1266,1175,91,1189.197293616167,2441
2015,PI,1,9.0,2159,1953,206,1852.8506010200358,4112
2015,PI,2,1.0,22,19,3,843.6854166666667,41
2015,PI,2,2.0,156,238,-82,868.1273428889241,394
2015,PI,2,3.0,202,219,-17,868.0166155701024,421
2015,PI,2,4.0,502,653,-151,839.3945051497304,1155
2015,PI,2,5.0,1086,1075,11,854.2184934668601,2161
2015,PI,2,6.0,1550,1616,-66,798.918611349377,3166
2015,PI,2,7.0,15509,14299,1210,888.926340411879,29808
2015,PI,2,8.0,1361,1383,-22,993.5396409773949,2744
2015,PI,2,9.0,2965,2557,408,1480.7609242264584,5522
2015,RN,1,1.0,921,1098,-177,870.434285714446,2019
2015,RN,1,2.0,5311,6668,-1357,945.1241051072428,11979
2015,RN,1,3.0,2704,3530,-826,962.5081775239355,6234
2015,RN,1,4.0,5811,7038,-1227,956.1826687371099,12849
2015,RN,1,5.0,6935,8607,-1672,980.3194065300983,15542
2015,RN,1,6.0,6638,7793,-1155,927.5359512596059,14431
2015,RN,1,7.0,38988,42227,-3239,1023.8691893558066,81215
2015,RN,1,8.0,1269,1377,-108,1319.2194916861736,2646
2015,RN,1,9.0,2938,3011,-73,2356.5434457844613,5949
2015,RN,2,1.0,78,59,19,832.5499421555456,137
2015,RN,2,2.0,412,611,-199,816.5937830080693,1023
2015,RN,2,3.0,312,484,-172,834.0725909297919,796
2015,RN,2,4.0,1014,1101,-87,817.3849481436218,2115
2015,RN,2,5.0,1421,1738,-317,835.1477143990728,3159
2015,RN,2,6.0,2112,2659,-547,741.8149715098737,4771
2015,RN,2,7.0,22539,23306,-767,874.9975107961492,45845
2015,RN,2,8.0,1493,1602,-109,1067.5292511263506,3095
2015,RN,2,9.0,4115,3995,120,1572.552066092868,8110
2015,SE,1,1.0,841,1199,-358,837.2814429181753,2040
