exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,uf_nome
2015,RREO,2,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,4177455.71,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2260067156.92,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,2242395456.99,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,17671699.93,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,46367503.64,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,1150749.13,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,45216754.51,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,2260067156.92,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,2213099244.37,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,1611192616.1,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,1869468712.63,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,631202840.89,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,233035757.34,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasDeCapital,Transferências de Capital,46367503.64,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasDeCapital,Transferências de Capital,70243288.49,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,1150749.13,Paraíba
2015,RREO,3,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6OutrasTransferenciasDeCapital,Outras Transferências de Capital,4931540.71,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentes,TRANSFERÊNCIAS CORRENTES,2835803100.24,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesIntergovernamentais,Transferências Intergovernamentais,2816066397.7,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasCorrentesDeConvenios,Transferências de Convênios,19736702.54,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapital,TRANSFERÊNCIAS DE CAPITAL,102913683.57,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalIntergovernamentais,Transferências Intergovernamentais,3833649.13,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 01,E,,Até o Bimestre (c),TransferenciasDeCapitalDeConvenios,Transferências de Convênios,99080034.44,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6TransferenciasCorrentes,Transferências Correntes,2835803100.24,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6TransferenciasCorrentes,Transferências Correntes,2802328086.16,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6CotaParteDoFPE,Cota-Parte do FPE,2021821255.14,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2014,RREO6CotaParteDoFPE,Cota-Parte do FPE,2372272476.66,Paraíba
2015,RREO,4,B,Governo do Estado da Paraíba,25,PB,3943885,RREO-Anexo 06,E,,Até o Bimestre / 2015,RREO6OutrasTransferenciasCorrentes,Outras Transferências Correntes,794245142.56,Paraíba
