ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2017,6,13,Sertão dos Inhamuns,equip,2068290.86,1296235.9,221380.49,933175.33
2017,6,14,Vale do Jaguaribe,equip,3415971.08,2797680.12,548728.37,1327742.12
2017,6,15,Estado do Ceará (não regionalizado),equip,21317804.6,7956718.7,11944829.45,3084755.3
2017,6,01,Cariri,obras,340706712.11,296586284.1,129643871.34,94375483.71
2017,6,02,Centro Sul,obras,78002311.26,73954446.96,24159407.22,22764077.1
2017,6,03,Grande Fortaleza,obras,432611404.57,406553922.91,147253392.99,135680426.75
2017,6,04,Litoral Leste,obras,64705022.96,55446784.13,31409929.77,26271344.83
2017,6,05,Litoral Norte,obras,29652902.3,24855676.68,10415839.58,6257528.68
2017,6,06,Litoral Oeste / Vale do Curu,obras,27465873.35,25431796.68,7162902.72,7112640.24
2017,6,07,Maciço do Baturité,obras,54821669.65,51248319.55,14325372.89,13332124.06
2017,6,08,Serra da Ibiapaba,obras,30586232.27,27015106.73,17643636.81,14428095.45
2017,6,09,Sertão Central,obras,66331437.85,61036161.98,15002084.36,12503210.27
2017,6,10,Sertão de Canindé,obras,14180914.37,12492749.22,5422227.41,4059336.17
2017,6,11,Sertão de Sobral,obras,72011767.97,69733847.52,22927147.07,23660399.38
2017,6,12,Sertão dos Crateús,obras,65938168.85,61332310.8,16083729.72,17134541.89
2017,6,13,Sertão dos Inhamuns,obras,4897543.65,3830778.91,1272861.12,1702482.56
2017,6,14,Vale do Jaguaribe,obras,29249347.47,26012479.08,10965394.03,8473119.31
2017,6,15,Estado do Ceará (não regionalizado),obras,6209883.56,3583146.82,2596374.45,730802.94
2018,6,01,Cariri,equip,16176972.55,14114509.09,1237274.27,4788189.01
2018,6,02,Centro Sul,equip,5142613.92,4628811.77,431864.68,1481163.9
2018,6,03,Grande Fortaleza,equip,225283446.01,197591171.0,69474985.94,102264184.5
2018,6,04,Litoral Leste,equip,1529474.55,1298896.92,190487.1,80217.3
2018,6,05,Litoral Norte,equip,8344112.85,7704595.15,702974.04,724850.51
2018,6,06,Litoral Oeste / Vale do Curu,equip,4321409.72,3567973.94,425064.07,651524.26
2018,6,07,Maciço do Baturité,equip,5029771.2,4421344.19,411189.43,1291306.32
2018,6,08,Serra da Ibiapaba,equip,4395739.89,3162896.09,260339.32,342272.62
2018,6,09,Sertão Central,equip,9422527.55,8400598.98,387674.73,809458.52
2018,6,10,Sertão de Canindé,equip,2980213.38,2611200.93,275515.35,848944.78
