Código,Descrição,Lei,Lei + Cred.,Empenhado,Pago,% Emp.,% Pago,ano,mes
08200003,DEPARTAMENTO ESTADUAL DE TRÂNSITO,67118777.0,67118777.0,0.0,0.0,,,2026,12
21200001,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO CEARÁ,1800000.0,1800000.0,0.0,0.0,,,2026,12
30200003,EMPRESA DE TECNOLOGIA DA INFORMAÇÃO DO CEARÁ,22979500.0,22979500.0,0.0,0.0,,,2026,12
40000000,ENCARGOS GERAIS DO ESTADO,1259253.0,0.0,0.0,0.0,,,2026,12
46100003,ESCOLA DE GESTÃO PÚBLICA DO ESTADO DO CEARÁ,541439.0,541439.0,0.0,0.0,,,2026,12
24200003,ESCOLA DE SAÚDE PÚBLICA,50000.0,50000.0,0.0,0.0,,,2026,12
31200005,FUNDAÇÃO CEARENSE DE APOIO AO DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO,2815900.0,2815900.0,0.0,0.0,,,2026,12
29200007,FUNDAÇÃO CEARENSE DE METEOROLOGIA E RECURSOS HÍDRICOS,150000.0,150000.0,0.0,0.0,,,2026,12
46200009,FUNDAÇÃO DE PREVIDÊNCIA SOCIAL DO ESTADO DO CEARÁ,1600000.0,1600000.0,0.0,0.0,,,2026,12
30200001,FUNDAÇÃO DE TELEDUCAÇÃO DO CEARÁ,1527000.0,1527000.0,0.0,0.0,,,2026,12
31200001,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ,9169000.0,9169000.0,0.0,0.0,,,2026,12
31200003,FUNDAÇÃO UNIVERSIDADE REGIONAL DO CARIRI,10830103.0,10830103.0,0.0,0.0,,,2026,12
31200002,FUNDAÇÃO UNIVERSIDADE VALE DO ACARAÚ,5126549.0,5126549.0,0.0,0.0,,,2026,12
06200001,FUNDO DE APOIO E APARELHAMENTO DA DEFENSORIA PÚBLICA GERAL DO ESTADO DO CEARÁ,20000.0,20000.0,0.0,0.0,,,2026,12
56200011,FUNDO DE DEFESA AGROPECUÁRIA DO ESTADO DO CEARÁ,1300000.0,1300000.0,0.0,0.0,,,2026,12
