cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2308500,09,Sertão Central,2015,3,12639724.0
2309300,12,Sertão dos Crateús,2015,3,27794686.0
2309607,03,Grande Fortaleza,2015,3,6271848.0
2311306,09,Sertão Central,2015,3,23652262.0
2311405,09,Sertão Central,2015,3,9537920.0
2311801,14,Vale do Jaguaribe,2015,3,183200.0
2312205,12,Sertão dos Crateús,2015,3,1797584.0
2312304,08,Serra da Ibiapaba,2015,3,21290547.0
2312908,11,Sertão de Sobral,2015,3,74864459.0
2313302,13,Sertão dos Inhamuns,2015,3,16836185.0
2313401,08,Serra da Ibiapaba,2015,3,24670359.0
2314102,08,Serra da Ibiapaba,2015,3,1185648.0
2300200,05,Litoral Norte,2015,4,8299493.0
2300309,02,Centro Sul,2015,4,8083365.0
2301000,03,Grande Fortaleza,2015,4,940125.0
2301109,04,Litoral Leste,2015,4,36251729.0
2301901,01,Cariri,2015,4,25283557.0
2302107,07,Maciço do Baturité,2015,4,22405737.0
2302404,10,Sertão de Canindé,2015,4,16151147.0
2302503,01,Cariri,2015,4,27035301.0
2302701,01,Cariri,2015,4,14308152.0
2302800,10,Sertão de Canindé,2015,4,26775298.0
2303501,03,Grande Fortaleza,2015,4,13529234.0
2303709,03,Grande Fortaleza,2015,4,2162070.0
2304103,12,Sertão dos Crateús,2015,4,31033372.0
2304202,01,Cariri,2015,4,29456795.0
2304285,03,Grande Fortaleza,2015,4,1098012.0
2304400,03,Grande Fortaleza,2015,4,4302080612.0
2304707,05,Litoral Norte,2015,4,27682881.0
2305233,03,Grande Fortaleza,2015,4,2813522.0
2305506,02,Centro Sul,2015,4,48447933.0
2306306,06,Litoral Oeste / Vale do Curu,2015,4,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,4,64623604.0
2306900,14,Vale do Jaguaribe,2015,4,19589665.0
2307304,01,Cariri,2015,4,72688563.0
2307502,01,Cariri,2015,4,19740716.0
2307601,14,Vale do Jaguaribe,2015,4,32311041.0
2307650,03,Grande Fortaleza,2015,4,106857674.0
2307700,03,Grande Fortaleza,2015,4,2267308.0
2308500,09,Sertão Central,2015,4,13362441.0
2309300,12,Sertão dos Crateús,2015,4,28096687.0
2309607,03,Grande Fortaleza,2015,4,6713632.0
2311306,09,Sertão Central,2015,4,23738530.0
2311405,09,Sertão Central,2015,4,9618072.0
2311801,14,Vale do Jaguaribe,2015,4,331919.0
2312205,12,Sertão dos Crateús,2015,4,1934004.0
2312304,08,Serra da Ibiapaba,2015,4,21066153.0
