cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2306405,2015,2,65198606.0,52893108.0,7717416.0,1107875.0,0.0,0.0,65198606.0
2306900,2015,2,20176020.0,14623944.0,2363181.0,801532.0,0.0,0.0,20176020.0
2307304,2015,2,71364712.0,55017729.0,12375730.0,134350.0,0.0,0.0,71364712.0
2307502,2015,2,19642190.0,7813884.0,563319.0,2185543.0,0.0,0.0,19642190.0
2307601,2015,2,32014847.0,21223663.0,6254009.0,2802824.0,505552.0,0.0,32014847.0
2307650,2015,2,108720411.0,76245376.0,32092820.0,143968.0,0.0,0.0,108720411.0
2307700,2015,2,2284882.0,882732.0,1332072.0,0.0,0.0,0.0,2284882.0
2308500,2015,2,13163402.0,10114628.0,1475275.0,2585.0,0.0,0.0,13163402.0
2309300,2015,2,28344507.0,22572058.0,2633404.0,371942.0,0.0,0.0,28344507.0
2309607,2015,2,6003656.0,3264737.0,2733080.0,0.0,0.0,0.0,6003656.0
2311306,2015,2,24015432.0,16171754.0,2886009.0,1176514.0,469696.0,0.0,24015432.0
2311405,2015,2,9475083.0,6513511.0,790329.0,47967.0,0.0,0.0,9475083.0
2311801,2015,2,174627.0,100411.0,57733.0,0.0,0.0,0.0,174627.0
2312205,2015,2,1541359.0,974809.0,446176.0,0.0,0.0,0.0,1541359.0
2312304,2015,2,21488135.0,17516210.0,1825529.0,2002704.0,0.0,0.0,21488135.0
2312908,2015,2,75158166.0,55969768.0,11687787.0,228103.0,0.0,0.0,75158166.0
2313302,2015,2,16829327.0,14003500.0,1482084.0,1704.0,41396.0,0.0,16829327.0
2313401,2015,2,24831982.0,18133201.0,4665449.0,960227.0,0.0,0.0,24831982.0
2314102,2015,2,1126986.0,710385.0,401568.0,0.0,0.0,0.0,1126986.0
2300200,2015,3,8206629.0,4858232.0,3234778.0,0.0,0.0,0.0,8206629.0
2300309,2015,3,7636902.0,6509782.0,864546.0,0.0,0.0,0.0,7636902.0
2301000,2015,3,568279.0,435361.0,123428.0,0.0,0.0,0.0,568279.0
2301109,2015,3,37305934.0,24113259.0,2380929.0,1493787.0,0.0,0.0,37305934.0
2301901,2015,3,24213122.0,21099077.0,2954515.0,0.0,0.0,0.0,24213122.0
2302107,2015,3,22381419.0,16558680.0,1297339.0,2915227.0,200517.0,0.0,22381419.0
2302404,2015,3,15994120.0,11899351.0,1723029.0,150259.0,0.0,0.0,15994120.0
2302503,2015,3,26881750.0,20674248.0,3121695.0,1308553.0,0.0,0.0,26881750.0
2302701,2015,3,14606258.0,11148610.0,810265.0,25114.0,0.0,0.0,14606258.0
2302800,2015,3,25764810.0,21380082.0,2008285.0,36769.0,0.0,0.0,25764810.0
2303501,2015,3,13690859.0,12162004.0,1471857.0,0.0,0.0,0.0,13690859.0
2303709,2015,3,2166918.0,1226140.0,901152.0,0.0,0.0,0.0,2166918.0
2304103,2015,3,31797066.0,24226290.0,2866448.0,60325.0,0.0,0.0,31797066.0
2304202,2015,3,29252297.0,20519185.0,3875261.0,400524.0,0.0,0.0,29252297.0
2304285,2015,3,896691.0,628735.0,218137.0,0.0,0.0,0.0,896691.0
2304400,2015,3,4370804772.0,598247109.0,930452936.0,13670257.0,88348.0,690379213.0,4370804772.0
2304707,2015,3,27309400.0,23490202.0,3472059.0,217892.0,0.0,0.0,27309400.0
2305233,2015,3,2718158.0,994142.0,1627435.0,0.0,0.0,0.0,2718158.0
