cod_ibge,regiao_codigo,regiao_nome,ano,mes,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2308104,01,Cariri,2015,1,26,112,-86,138,1347.123188405797
2308203,11,Sertão de Sobral,2015,1,3,4,-1,7,1026.142857142857
2308302,01,Cariri,2015,1,15,27,-12,42,949.9761904761904
2308351,09,Sertão Central,2015,1,4,1,3,5,861.0
2308377,06,Litoral Oeste / Vale do Curu,2015,1,0,1,-1,1,866.0
2308401,01,Cariri,2015,1,62,70,-8,132,1193.6969696969695
2308500,09,Sertão Central,2015,1,14,20,-6,34,1124.3529411764705
2308609,12,Sertão dos Crateús,2015,1,1,1,0,2,1507.5
2308708,14,Vale do Jaguaribe,2015,1,119,154,-35,273,940.7472527472528
2308807,11,Sertão de Sobral,2015,1,0,4,-4,4,956.0
2308906,05,Litoral Norte,2015,1,13,4,9,17,804.7647058823529
2309003,11,Sertão de Sobral,2015,1,3,0,3,3,801.0
2309102,07,Maciço do Baturité,2015,1,5,0,5,5,908.6
2309201,01,Cariri,2015,1,31,20,11,51,834.4705882352941
2309300,12,Sertão dos Crateús,2015,1,14,9,5,23,914.8260869565216
2309409,12,Sertão dos Crateús,2015,1,8,10,-2,18,828.3333333333334
2309458,07,Maciço do Baturité,2015,1,6,8,-2,14,888.9285714285714
2309508,02,Centro Sul,2015,1,4,1,3,5,1132.2
2309607,03,Grande Fortaleza,2015,1,164,193,-29,357,968.1624649859943
2309706,03,Grande Fortaleza,2015,1,216,181,35,397,1343.080604534005
2309805,07,Maciço do Baturité,2015,1,7,5,2,12,876.3333333333334
2310001,14,Vale do Jaguaribe,2015,1,5,66,-61,71,976.0281690140844
2310100,07,Maciço do Baturité,2015,1,1,19,-18,20,971.6
2310209,03,Grande Fortaleza,2015,1,87,75,12,162,1039.7962962962963
2310258,03,Grande Fortaleza,2015,1,85,57,28,142,1259.3309859154929
2310308,13,Sertão dos Inhamuns,2015,1,3,9,-6,12,848.0
2310407,10,Sertão de Canindé,2015,1,1,8,-7,9,1141.4444444444443
2310506,09,Sertão Central,2015,1,11,34,-23,45,1035.2
2310605,01,Cariri,2015,1,3,3,0,6,925.8333333333334
2310704,06,Litoral Oeste / Vale do Curu,2015,1,86,47,39,133,960.9774436090224
2310803,14,Vale do Jaguaribe,2015,1,41,15,26,56,866.3035714285714
2310852,03,Grande Fortaleza,2015,1,23,45,-22,68,1035.470588235294
2310902,09,Sertão Central,2015,1,0,5,-5,5,874.0
2311009,12,Sertão dos Crateús,2015,1,1,0,1,1,788.0
2311108,01,Cariri,2015,1,2,0,2,2,788.0
2311207,01,Cariri,2015,1,42,6,36,48,1270.625
2311231,14,Vale do Jaguaribe,2015,1,1,0,1,1,788.0
2311264,13,Sertão dos Inhamuns,2015,1,7,46,-39,53,2004.9433962264152
2311306,09,Sertão Central,2015,1,120,156,-36,276,951.5108695652174
2311355,02,Centro Sul,2015,1,7,3,4,10,838.3
2311405,09,Sertão Central,2015,1,130,94,36,224,927.0267857142856
2311504,14,Vale do Jaguaribe,2015,1,81,192,-111,273,984.7765567765568
2311603,07,Maciço do Baturité,2015,1,37,40,-3,77,913.5714285714286
2311702,11,Sertão de Sobral,2015,1,5,2,3,7,793.5714285714286
2311801,14,Vale do Jaguaribe,2015,1,372,562,-190,934,843.1541755888651
2311900,02,Centro Sul,2015,1,0,1,-1,1,395.0
2312007,11,Sertão de Sobral,2015,1,4,11,-7,15,908.2
2312106,01,Cariri,2015,1,4,7,-3,11,786.0
2312205,12,Sertão dos Crateús,2015,1,52,24,28,76,869.5921052631579
2312304,08,Serra da Ibiapaba,2015,1,120,68,52,188,901.1436170212766
2312403,03,Grande Fortaleza,2015,1,418,702,-284,1120,1963.1633928571428
2312502,14,Vale do Jaguaribe,2015,1,4,3,1,7,1141.857142857143
2312601,03,Grande Fortaleza,2015,1,4,3,1,7,879.2857142857143
2312700,09,Sertão Central,2015,1,27,61,-34,88,821.3068181818181
2312908,11,Sertão de Sobral,2015,1,949,1190,-241,2139,980.8938756428238
2313005,09,Sertão Central,2015,1,21,17,4,38,938.1052631578948
2313104,14,Vale do Jaguaribe,2015,1,47,40,7,87,1045.264367816092
2313203,12,Sertão dos Crateús,2015,1,2,3,-1,5,831.6
2313252,01,Cariri,2015,1,0,1,-1,1,1024.0
2313302,13,Sertão dos Inhamuns,2015,1,88,52,36,140,966.0642857142856
2313351,06,Litoral Oeste / Vale do Curu,2015,1,9,3,6,12,1076.0833333333333
2313401,08,Serra da Ibiapaba,2015,1,273,158,115,431,920.2691415313224
2313500,03,Grande Fortaleza,2015,1,136,43,93,179,1089.8938547486034
2313559,06,Litoral Oeste / Vale do Curu,2015,1,45,15,30,60,811.8
2313609,08,Serra da Ibiapaba,2015,1,79,81,-2,160,1054.73125
2313708,02,Centro Sul,2015,1,0,1,-1,1,788.0
2313757,06,Litoral Oeste / Vale do Curu,2015,1,11,12,-1,23,989.7391304347826
2313807,06,Litoral Oeste / Vale do Curu,2015,1,17,16,1,33,821.2424242424242
2313906,05,Litoral Norte,2015,1,0,13,-13,13,942.1538461538462
2313955,11,Sertão de Sobral,2015,1,16,9,7,25,934.24
2314003,01,Cariri,2015,1,320,152,168,472,987.7394067796612
2314102,08,Serra da Ibiapaba,2015,1,35,24,11,59,1083.7457627118645
2300101,01,Cariri,2015,2,4,5,-1,9,951.3333333333334
2300150,07,Maciço do Baturité,2015,2,86,51,35,137,1072.2846715328467
2300200,05,Litoral Norte,2015,2,42,44,-2,86,1241.1279069767445
2300309,02,Centro Sul,2015,2,20,43,-23,63,1095.047619047619
2300408,13,Sertão dos Inhamuns,2015,2,1,0,1,1,910.0
2300507,11,Sertão de Sobral,2015,2,1,3,-2,4,877.5
2300705,14,Vale do Jaguaribe,2015,2,14,23,-9,37,873.5135135135135
2300754,06,Litoral Oeste / Vale do Curu,2015,2,6,14,-8,20,1287.55
2300804,01,Cariri,2015,2,2,0,2,2,788.0
2300903,06,Litoral Oeste / Vale do Curu,2015,2,42,10,32,52,813.8653846153846
2301000,03,Grande Fortaleza,2015,2,439,650,-211,1089,1057.9540863177226
2301109,04,Litoral Leste,2015,2,320,500,-180,820,961.2585365853658
2301208,07,Maciço do Baturité,2015,2,34,16,18,50,812.3
2301257,12,Sertão dos Crateús,2015,2,0,1,-1,1,827.0
2301406,07,Maciço do Baturité,2015,2,2,3,-1,5,820.4
2301505,13,Sertão dos Inhamuns,2015,2,1,0,1,1,895.0
2301604,01,Cariri,2015,2,7,8,-1,15,834.4666666666667
2301703,01,Cariri,2015,2,7,47,-40,54,817.4444444444445
2301851,09,Sertão Central,2015,2,2,4,-2,6,971.3333333333334
2301901,01,Cariri,2015,2,197,205,-8,402,1026.8432835820895
2301950,07,Maciço do Baturité,2015,2,10,3,7,13,960.7692307692308
2302008,01,Cariri,2015,2,5,4,1,9,1022.7777777777778
2302057,05,Litoral Norte,2015,2,2,4,-2,6,872.0
2302107,07,Maciço do Baturité,2015,2,51,58,-7,109,840.2935779816514
2302206,04,Litoral Leste,2015,2,65,56,9,121,943.4710743801652
2302305,05,Litoral Norte,2015,2,10,7,3,17,814.8235294117648
2302404,10,Sertão de Canindé,2015,2,32,45,-13,77,869.4545454545455
2302503,01,Cariri,2015,2,91,81,10,172,1257.4593023255811
2302602,05,Litoral Norte,2015,2,100,76,24,176,832.7443181818181
2302701,01,Cariri,2015,2,16,6,10,22,888.5454545454545
2302800,10,Sertão de Canindé,2015,2,139,110,29,249,851.1044176706828
2302909,07,Maciço do Baturité,2015,2,3,6,-3,9,963.1111111111112
2303006,10,Sertão de Canindé,2015,2,63,39,24,102,945.4411764705884
2303105,11,Sertão de Sobral,2015,2,15,11,4,26,980.2307692307692
2303204,01,Cariri,2015,2,26,10,16,36,1005.4444444444443
2303303,02,Centro Sul,2015,2,1,1,0,2,788.0
2303402,08,Serra da Ibiapaba,2015,2,6,6,0,12,845.25
2303501,03,Grande Fortaleza,2015,2,141,151,-10,292,911.7328767123288
2303600,02,Centro Sul,2015,2,1,0,1,1,788.0
2303659,12,Sertão dos Crateús,2015,2,7,0,7,7,1083.571428571429
2303709,03,Grande Fortaleza,2015,2,1662,1624,38,3286,1168.9473524041389
2303808,02,Centro Sul,2015,2,7,8,-1,15,846.8666666666667
2303907,05,Litoral Norte,2015,2,3,1,2,4,908.5
2303931,09,Sertão Central,2015,2,5,0,5,5,835.2
2303956,03,Grande Fortaleza,2015,2,18,39,-21,57,969.9649122807018
2304004,11,Sertão de Sobral,2015,2,0,1,-1,1,788.0
2304103,12,Sertão dos Crateús,2015,2,58,66,-8,124,943.0564516129032
2304202,01,Cariri,2015,2,426,569,-143,995,907.0060301507538
2304236,08,Serra da Ibiapaba,2015,2,3,2,1,5,942.0
2304251,05,Litoral Norte,2015,2,17,10,7,27,845.1851851851852
2304269,09,Sertão Central,2015,2,0,2,-2,2,788.0
2304285,03,Grande Fortaleza,2015,2,1292,1397,-105,2689,1130.1904053551507
2304301,01,Cariri,2015,2,4,6,-2,10,763.4
2304350,11,Sertão de Sobral,2015,2,19,16,3,35,895.8285714285714
2304400,03,Grande Fortaleza,2015,2,23825,23950,-125,47775,1100.6787859759288
2304459,04,Litoral Leste,2015,2,9,4,5,13,862.3076923076923
2304509,11,Sertão de Sobral,2015,2,56,42,14,98,838.2755102040817
2304608,06,Litoral Oeste / Vale do Curu,2015,2,1,5,-4,6,795.0
2304707,05,Litoral Norte,2015,2,12,11,1,23,1094.6521739130435
2304905,11,Sertão de Sobral,2015,2,2,3,-1,5,850.8
2304954,03,Grande Fortaleza,2015,2,26,50,-24,76,885.5131578947369
2305001,08,Serra da Ibiapaba,2015,2,20,15,5,35,856.3428571428572
2305100,07,Maciço do Baturité,2015,2,9,9,0,18,991.9444444444443
2305209,12,Sertão dos Crateús,2015,2,24,0,24,24,1294.0416666666667
2305233,03,Grande Fortaleza,2015,2,262,359,-97,621,1027.729468599034
2305266,09,Sertão Central,2015,2,8,1,7,9,815.7777777777778
2305308,08,Serra da Ibiapaba,2015,2,8,7,1,15,1044.2
2305332,09,Sertão Central,2015,2,3,1,2,4,1494.75
2305357,04,Litoral Leste,2015,2,101,368,-267,469,834.1449893390192
2305407,02,Centro Sul,2015,2,69,72,-3,141,750.8510638297872
2305506,02,Centro Sul,2015,2,447,344,103,791,917.346396965866
2305605,12,Sertão dos Crateús,2015,2,4,9,-5,13,1187.076923076923
2305654,12,Sertão dos Crateús,2015,2,4,0,4,4,886.5
2305704,02,Centro Sul,2015,2,2,2,0,4,794.5
2305803,08,Serra da Ibiapaba,2015,2,28,17,11,45,832.9111111111112
2305902,12,Sertão dos Crateús,2015,2,4,2,2,6,1060.6666666666667
2306009,14,Vale do Jaguaribe,2015,2,2,3,-1,5,788.0
2306108,06,Litoral Oeste / Vale do Curu,2015,2,10,20,-10,30,860.6333333333333
2306207,04,Litoral Leste,2015,2,2,5,-3,7,810.4285714285714
2306256,03,Grande Fortaleza,2015,2,121,126,-5,247,1060.1174089068827
2306306,06,Litoral Oeste / Vale do Curu,2015,2,165,171,-6,336,892.0803571428571
2306405,06,Litoral Oeste / Vale do Curu,2015,2,251,179,72,430,867.4069767441861
2306504,07,Maciço do Baturité,2015,2,9,0,9,9,845.7777777777778
2306553,05,Litoral Norte,2015,2,31,4,27,35,1409.4857142857145
2306603,10,Sertão de Canindé,2015,2,3,0,3,3,814.0
2306702,14,Vale do Jaguaribe,2015,2,4,8,-4,12,963.6666666666666
2306801,14,Vale do Jaguaribe,2015,2,10,8,2,18,947.9444444444443
2306900,14,Vale do Jaguaribe,2015,2,38,41,-3,79,1038.3417721518988
2307007,04,Litoral Leste,2015,2,47,66,-19,113,1186.6194690265486
2307106,01,Cariri,2015,2,11,12,-1,23,820.9130434782609
2307205,01,Cariri,2015,2,5,0,5,5,942.6
2307254,05,Litoral Norte,2015,2,108,77,31,185,878.2432432432432
2307304,01,Cariri,2015,2,1454,1774,-320,3228,937.5535935563817
2307403,02,Centro Sul,2015,2,6,26,-20,32,1079.21875
2307502,01,Cariri,2015,2,2,2,0,4,900.0
2307601,14,Vale do Jaguaribe,2015,2,189,153,36,342,912.6929824561404
2307635,10,Sertão de Canindé,2015,2,13,1,12,14,652.8571428571429
2307650,03,Grande Fortaleza,2015,2,2059,2065,-6,4124,1008.7946168768186
2307700,03,Grande Fortaleza,2015,2,317,384,-67,701,962.3109843081312
2307809,05,Litoral Norte,2015,2,79,43,36,122,890.9590163934427
2307908,05,Litoral Norte,2015,2,0,6,-6,6,961.5
2308005,11,Sertão de Sobral,2015,2,15,15,0,30,1012.2666666666668
2308104,01,Cariri,2015,2,18,16,2,34,1250.7058823529412
2308203,11,Sertão de Sobral,2015,2,4,10,-6,14,1010.0714285714286
2308302,01,Cariri,2015,2,15,48,-33,63,1127.571428571429
2308351,09,Sertão Central,2015,2,2,0,2,2,788.0
2308401,01,Cariri,2015,2,101,37,64,138,1009.7536231884058
2308500,09,Sertão Central,2015,2,19,23,-4,42,979.1428571428572
2308609,12,Sertão dos Crateús,2015,2,2,2,0,4,868.75
2308708,14,Vale do Jaguaribe,2015,2,75,185,-110,260,935.2307692307692
2308906,05,Litoral Norte,2015,2,3,10,-7,13,927.5384615384615
2309003,11,Sertão de Sobral,2015,2,1,1,0,2,925.5
2309102,07,Maciço do Baturité,2015,2,0,4,-4,4,1045.5
2309201,01,Cariri,2015,2,12,18,-6,30,906.7
2309300,12,Sertão dos Crateús,2015,2,11,12,-1,23,968.9130434782608
2309409,12,Sertão dos Crateús,2015,2,2,8,-6,10,905.4
2309458,07,Maciço do Baturité,2015,2,6,5,1,11,1002.2727272727273
2309508,02,Centro Sul,2015,2,2,7,-5,9,865.2222222222222
2309607,03,Grande Fortaleza,2015,2,192,260,-68,452,930.508849557522
2309706,03,Grande Fortaleza,2015,2,121,241,-120,362,1041.5662983425414
2309805,07,Maciço do Baturité,2015,2,8,5,3,13,786.1538461538462
2309904,11,Sertão de Sobral,2015,2,4,0,4,4,1028.75
2310001,14,Vale do Jaguaribe,2015,2,1,97,-96,98,961.8163265306124
2310100,07,Maciço do Baturité,2015,2,3,4,-1,7,1022.7142857142856
2310209,03,Grande Fortaleza,2015,2,30,68,-38,98,1185.1734693877552
2310258,03,Grande Fortaleza,2015,2,94,57,37,151,1023.0264900662252
2310308,13,Sertão dos Inhamuns,2015,2,4,5,-1,9,892.1111111111111
2310407,10,Sertão de Canindé,2015,2,3,5,-2,8,788.0
2310506,09,Sertão Central,2015,2,16,21,-5,37,1050.6486486486488
2310605,01,Cariri,2015,2,2,2,0,4,788.0
2310704,06,Litoral Oeste / Vale do Curu,2015,2,111,54,57,165,890.0242424242424
2310803,14,Vale do Jaguaribe,2015,2,32,15,17,47,901.1489361702128
2310852,03,Grande Fortaleza,2015,2,34,27,7,61,978.0983606557376
2310902,09,Sertão Central,2015,2,1,7,-6,8,897.75
2311108,01,Cariri,2015,2,0,3,-3,3,788.0
2311207,01,Cariri,2015,2,2,3,-1,5,1112.0
2311231,14,Vale do Jaguaribe,2015,2,1,2,-1,3,788.0
2311264,13,Sertão dos Inhamuns,2015,2,2,12,-10,14,1300.357142857143
2311306,09,Sertão Central,2015,2,187,94,93,281,1015.9857651245552
2311355,02,Centro Sul,2015,2,6,5,1,11,818.6363636363636
2311405,09,Sertão Central,2015,2,139,123,16,262,958.37786259542
2311504,14,Vale do Jaguaribe,2015,2,61,252,-191,313,921.7987220447284
2311603,07,Maciço do Baturité,2015,2,25,35,-10,60,900.1
2311702,11,Sertão de Sobral,2015,2,2,4,-2,6,864.1666666666666
2311801,14,Vale do Jaguaribe,2015,2,653,839,-186,1492,853.048927613941
2311900,02,Centro Sul,2015,2,1,0,1,1,1576.0
2312007,11,Sertão de Sobral,2015,2,1,10,-9,11,769.2727272727273
2312106,01,Cariri,2015,2,3,4,-1,7,1048.2857142857142
2312205,12,Sertão dos Crateús,2015,2,16,21,-5,37,849.5945945945946
2312304,08,Serra da Ibiapaba,2015,2,85,59,26,144,829.6388888888889
2312403,03,Grande Fortaleza,2015,2,553,232,321,785,2134.12101910828
2312502,14,Vale do Jaguaribe,2015,2,4,0,4,4,788.0
2312601,03,Grande Fortaleza,2015,2,3,1,2,4,1362.0
2312700,09,Sertão Central,2015,2,14,37,-23,51,920.9019607843136
2312908,11,Sertão de Sobral,2015,2,1286,1882,-596,3168,674.9422348484849
2313005,09,Sertão Central,2015,2,8,36,-28,44,1037.9318181818182
2313104,14,Vale do Jaguaribe,2015,2,51,61,-10,112,1029.866071428571
2313203,12,Sertão dos Crateús,2015,2,1,10,-9,11,911.2727272727273
2313302,13,Sertão dos Inhamuns,2015,2,52,165,-113,217,1044.147465437788
2313351,06,Litoral Oeste / Vale do Curu,2015,2,3,1,2,4,790.5
2313401,08,Serra da Ibiapaba,2015,2,214,206,8,420,909.9309523809524
2313500,03,Grande Fortaleza,2015,2,120,40,80,160,1284.58125
2313559,06,Litoral Oeste / Vale do Curu,2015,2,26,25,1,51,747.0196078431372
2313609,08,Serra da Ibiapaba,2015,2,35,40,-5,75,950.04
2313708,02,Centro Sul,2015,2,1,0,1,1,788.0
2313757,06,Litoral Oeste / Vale do Curu,2015,2,3,25,-22,28,1096.0357142857142
2313807,06,Litoral Oeste / Vale do Curu,2015,2,67,47,20,114,1339.491228070175
2313906,05,Litoral Norte,2015,2,5,3,2,8,988.25
2313955,11,Sertão de Sobral,2015,2,3,8,-5,11,878.9090909090909
2314003,01,Cariri,2015,2,43,20,23,63,854.1746031746031
2314102,08,Serra da Ibiapaba,2015,2,48,19,29,67,1027.2686567164178
2300101,01,Cariri,2015,3,1,0,1,1,788.0
2300150,07,Maciço do Baturité,2015,3,45,43,2,88,922.056818181818
2300200,05,Litoral Norte,2015,3,60,37,23,97,895.4536082474227
2300309,02,Centro Sul,2015,3,49,32,17,81,1108.5432098765432
2300408,13,Sertão dos Inhamuns,2015,3,3,1,2,4,1218.25
2300507,11,Sertão de Sobral,2015,3,1,0,1,1,827.0
2300705,14,Vale do Jaguaribe,2015,3,20,17,3,37,890.0540540540541
2300754,06,Litoral Oeste / Vale do Curu,2015,3,14,14,0,28,1093.571428571429
2300804,01,Cariri,2015,3,2,0,2,2,788.0
2300903,06,Litoral Oeste / Vale do Curu,2015,3,35,16,19,51,834.9215686274509
2301000,03,Grande Fortaleza,2015,3,477,556,-79,1033,1112.5643756050338
2301109,04,Litoral Leste,2015,3,341,355,-14,696,999.0833333333334
2301208,07,Maciço do Baturité,2015,3,28,16,12,44,927.7954545454544
2301257,12,Sertão dos Crateús,2015,3,1,1,0,2,826.0
2301307,01,Cariri,2015,3,3,4,-1,7,1053.7142857142858
2301406,07,Maciço do Baturité,2015,3,3,3,0,6,1101.0
2301505,13,Sertão dos Inhamuns,2015,3,8,14,-6,22,988.7272727272727
2301604,01,Cariri,2015,3,2,3,-1,5,906.8
2301703,01,Cariri,2015,3,7,2,5,9,947.8888888888888
2301802,02,Centro Sul,2015,3,0,1,-1,1,0.0
2301851,09,Sertão Central,2015,3,16,3,13,19,1145.4736842105262
2301901,01,Cariri,2015,3,248,350,-102,598,1221.489966555184
2301950,07,Maciço do Baturité,2015,3,11,25,-14,36,1311.0555555555557
2302008,01,Cariri,2015,3,18,4,14,22,934.7727272727273
2302057,05,Litoral Norte,2015,3,8,16,-8,24,1222.9166666666667
2302107,07,Maciço do Baturité,2015,3,68,39,29,107,910.1869158878504
2302206,04,Litoral Leste,2015,3,43,111,-68,154,902.7727272727273
2302305,05,Litoral Norte,2015,3,17,10,7,27,870.5555555555555
2302404,10,Sertão de Canindé,2015,3,35,45,-10,80,952.9625
2302503,01,Cariri,2015,3,119,396,-277,515,1441.9650485436894
2302602,05,Litoral Norte,2015,3,144,89,55,233,898.2875536480686
2302701,01,Cariri,2015,3,21,13,8,34,855.1470588235294
2302800,10,Sertão de Canindé,2015,3,135,69,66,204,880.1225490196078
2302909,07,Maciço do Baturité,2015,3,11,3,8,14,792.6428571428571
2303006,10,Sertão de Canindé,2015,3,20,28,-8,48,901.7708333333334
2303105,11,Sertão de Sobral,2015,3,0,19,-19,19,1009.421052631579
2303204,01,Cariri,2015,3,13,7,6,20,1147.2
2303303,02,Centro Sul,2015,3,2,3,-1,5,1419.0
2303402,08,Serra da Ibiapaba,2015,3,1,5,-4,6,842.0
2303501,03,Grande Fortaleza,2015,3,127,147,-20,274,980.1788321167884
