cod_ibge,ano,bimestre,motivo,detalhe
2301109,2023,6,suspeito_relato_corrente,valor_b6=21736509 < b5=25096704
2302206,2021,5,suspeito_relato_corrente,valor_b5=1104786 < b4=1176873
2306207,2018,6,suspeito_relato_corrente,valor_b6=1501893 < b5=1774211
2302057,2018,5,suspeito_relato_corrente,valor_b5=1399474 < b4=2023162
2302305,2021,5,suspeito_relato_corrente,valor_b5=1788350 < b4=1899413
2302305,2025,6,suspeito_relato_corrente,valor_b6=12743201 < b5=13800513
2303907,2018,6,suspeito_relato_corrente,valor_b6=195636 < b5=300964
2303907,2019,6,suspeito_relato_corrente,valor_b6=527014 < b5=913974
2304707,2015,6,suspeito_relato_corrente,valor_b6=14147442 < b5=16348620
2304707,2016,5,suspeito_relato_corrente,valor_b5=16651627 < b4=21255626
2304707,2017,6,suspeito_relato_corrente,valor_b6=7626586 < b5=9810406
2307254,2018,6,suspeito_relato_corrente,valor_b6=8108356 < b5=8809848
2307254,2022,6,suspeito_relato_corrente,valor_b6=10097444 < b5=11835844
2307809,2025,2,suspeito_relato_corrente,valor_b2=532816 < b1=1207645
2313906,2019,5,suspeito_relato_corrente,valor_b5=3589835 < b4=4909427
2313906,2019,6,suspeito_relato_corrente,valor_b6=2490525 < b5=3589835
2313906,2020,5,suspeito_relato_corrente,valor_b5=5379906 < b4=6151811
2300754,2025,6,suspeito_relato_corrente,valor_b6=21605175 < b5=23173870
2300903,2022,5,suspeito_relato_corrente,valor_b5=2196899 < b4=2545209
2304608,2018,6,suspeito_relato_corrente,valor_b6=413187 < b5=739832
2304608,2020,6,suspeito_relato_corrente,valor_b6=626311 < b5=769137
2304608,2022,6,suspeito_relato_corrente,valor_b6=3613569 < b5=3822608
2306405,2015,6,suspeito_relato_corrente,valor_b6=27594884 < b5=29509975
2306405,2016,6,suspeito_relato_corrente,valor_b6=15645553 < b5=18466842
2306405,2017,5,suspeito_relato_corrente,valor_b5=7394952 < b4=9136531
2310704,2015,6,suspeito_relato_corrente,valor_b6=4683980 < b5=4991146
2313559,2019,6,suspeito_relato_corrente,valor_b6=2869916 < b5=3330564
2313559,2021,6,suspeito_relato_corrente,valor_b6=194364 < b5=247580
2313559,2022,5,suspeito_relato_corrente,valor_b5=462432 < b4=1131290
2313757,2018,4,suspeito_relato_corrente,valor_b4=2718224 < b3=2865210
2313757,2018,6,suspeito_relato_corrente,valor_b6=3023505 < b5=3670423
2313757,2019,6,suspeito_relato_corrente,valor_b6=2576163 < b5=2778658
2313807,2017,5,suspeito_relato_corrente,valor_b5=814679 < b4=1154542
2300150,2021,4,suspeito_relato_corrente,valor_b4=36464 < b3=43129
2300150,2023,6,suspeito_relato_corrente,valor_b6=2566253 < b5=3617931
2301208,2019,6,suspeito_relato_corrente,valor_b6=2351161 < b5=2541770
2301950,2017,4,suspeito_relato_corrente,valor_b4=511340 < b3=550651
2302909,2020,6,suspeito_relato_corrente,valor_b6=1181747 < b5=1265771
2305100,2020,6,suspeito_relato_corrente,valor_b6=3968012 < b5=6159714
2305100,2021,3,suspeito_relato_corrente,valor_b3=2297867 < b2=2713008
2306504,2024,6,suspeito_relato_corrente,valor_b6=2231946 < b5=2841362
2306504,2025,2,suspeito_relato_corrente,valor_b2=27218 < b1=131940
2309102,2015,6,suspeito_relato_corrente,valor_b6=1070726 < b5=3416871
2309102,2017,5,suspeito_relato_corrente,valor_b5=1733047 < b4=2454100
2309102,2017,6,suspeito_relato_corrente,valor_b6=1105609 < b5=1733047
2309102,2018,6,suspeito_relato_corrente,valor_b6=1095802 < b5=1183028
2311603,2015,5,suspeito_relato_corrente,valor_b5=1701834 < b4=2031889
2311603,2016,5,suspeito_relato_corrente,valor_b5=236854 < b4=336954
2303402,2022,6,suspeito_relato_corrente,valor_b6=6527955 < b5=8209322
2303402,2023,6,suspeito_relato_corrente,valor_b6=4728517 < b5=5411649
2303402,2024,6,suspeito_relato_corrente,valor_b6=4914358 < b5=10233191
2303402,2025,6,suspeito_relato_corrente,valor_b6=9798833 < b5=13351531
2304236,2018,6,suspeito_relato_corrente,valor_b6=3660895 < b5=3965726
2304236,2023,6,suspeito_relato_corrente,valor_b6=8075164 < b5=13857765
2305001,2024,6,suspeito_relato_corrente,valor_b6=39358948 < b5=45902744
2305308,2016,5,suspeito_relato_corrente,valor_b5=2634715 < b4=2787569
2305308,2016,6,suspeito_relato_corrente,valor_b6=2374974 < b5=2634715
2305308,2024,6,suspeito_relato_corrente,valor_b6=4348330 < b5=5916403
2305308,2025,6,suspeito_relato_corrente,valor_b6=9317944 < b5=11588298
2305803,2019,6,suspeito_relato_corrente,valor_b6=6213201 < b5=10975391
2305803,2025,6,suspeito_relato_corrente,valor_b6=17580325 < b5=20964476
2312304,2018,6,suspeito_relato_corrente,valor_b6=6984802 < b5=8329062
2313401,2019,6,suspeito_relato_corrente,valor_b6=9027798 < b5=9709831
2313609,2015,6,suspeito_relato_corrente,valor_b6=10059228 < b5=10628708
