exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2021,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,5991936907.64,3351543,Ativo Circulante,Alagoas
2021,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,8846179032.55,3351543,Ativo Não Circulante,Alagoas
2021,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,14838115940.19,3351543,Passivo Total,Alagoas
2021,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1263442694.11,3351543,Passivo Circulante,Alagoas
2021,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,11381483093.68,3351543,Passivo Não Circulante,Alagoas
2021,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,2193190152.4,3351543,Patrimônio Líquido,Alagoas
2022,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,16141379659.56,3365351,Ativo Total,Alagoas
2022,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,4670017111.48,3365351,Ativo Circulante,Alagoas
2022,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11471362548.08,3365351,Ativo Não Circulante,Alagoas
2022,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,16141379659.56,3365351,Passivo Total,Alagoas
2022,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1299245566.24,3365351,Passivo Circulante,Alagoas
2022,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,12644812945.8,3365351,Passivo Não Circulante,Alagoas
2022,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,2197321147.52,3365351,Patrimônio Líquido,Alagoas
2023,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,24617190727.78,3365351,Ativo Total,Alagoas
